,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,1666.4094,19.6968,24.1976,41.2319,2.5952,0.814,0.3889,0.8678,1.1299,0.4777,4009.0,16.3257
QQQ,1535.0802,19.136,20.4143,36.4276,1.9643,0.9374,0.4924,0.9631,1.2389,0.5253,4009.0,
