,0
2023-04-04,-0.00337337144912353
2023-04-05,-0.009872432630865013
2023-04-06,0.006742129289423859
2023-04-10,-0.0005658758157141008
2023-04-11,-0.006417866271715034
2023-04-12,-0.008833710731110611
2023-04-13,0.01958218023184366
2023-04-14,-0.0018800222368221542
2023-04-17,0.0008477203663990185
2023-04-18,6.2751724407617e-05
2023-04-19,-0.0004707543266544434
2023-04-20,-0.007624283559695133
2023-04-21,0.0010433428634730735
2023-04-24,-0.0020845108674086843
2023-04-25,-0.01886379914063563
2023-04-26,0.00606486406541018
2023-04-27,0.027190722969687275
2023-04-28,0.006898718733296727
2023-05-01,-0.001147085764567568
2023-05-02,-0.008721528331175232
2023-05-03,-0.006543991313139763
2023-05-04,-0.0035297971879526546
2023-05-05,0.021254491525556807
2023-05-08,0.002477528216720648
2023-05-09,-0.0063332334766401654
2023-05-10,0.010881516755880893
2023-05-11,0.0032603502333972134
2023-05-12,-0.003586864424911851
2023-05-15,0.0054148866531891215
2023-05-16,0.0011322378432274682
2023-05-17,0.012104220638321284
2023-05-18,0.01857346092239842
2023-05-19,-0.0022534338170506762
2023-05-22,0.00335796436638236
2023-05-23,-0.012676272043967929
2023-05-24,-0.005129579433295284
2023-05-25,0.024332922666880252
2023-05-26,0.025550322182239738
2023-05-30,0.004535085612918044
2023-05-31,-0.005686339976584964
2023-06-01,0.011552441760224186
2023-06-02,0.007499612263745181
2023-06-05,0.0007048878140298864
2023-06-06,-0.00016912733094176513
2023-06-07,-0.016965248026754476
2023-06-08,0.012413338774527105
2023-06-09,0.003822596526733113
2023-06-12,0.016897165421397853
2023-06-13,0.007683998673813752
2023-06-14,0.0072675239020814075
2023-06-15,0.011915784890389691
2023-06-16,-0.0062928458369641005
2023-06-20,-0.0014315655999338484
2023-06-21,-0.013627897630562269
2023-06-22,0.011798764143610363
2023-06-23,-0.009913209923260169
2023-06-26,-0.013405493492452791
2023-06-27,0.01719427003163987
2023-06-28,0.0019512892872788345
2023-06-29,-0.002002468904372945
2023-06-30,0.015420274908705567
2023-07-03,0.002354867842129904
2023-07-05,-2.6937507408897332e-05
2023-07-06,-0.00761582331731625
2023-07-07,-0.003320115758941644
2023-07-10,0.00032758590502668383
2023-07-11,0.004940589644166771
2023-07-12,0.012630123438840624
2023-07-13,0.01697859989490902
2023-07-14,-0.000210872732056111
2023-07-17,0.009338459523140719
2023-07-18,0.00818067468827599
2023-07-19,-0.0002332893737454489
2023-07-20,-0.02305187839357592
2023-07-21,-0.0029993114878589244
2023-07-24,0.001597314328187549
2023-07-25,0.006777821434182041
2023-07-26,-0.003326554444114338
2023-07-27,-0.0023839354603608642
2023-07-28,0.018214519600280754
2023-07-31,0.0005215927862030068
2023-08-01,-0.002319583175828477
2023-08-02,-0.021944278907796932
2023-08-03,-0.0016025222018165586
2023-08-04,-0.004681773957492474
2023-08-07,0.00846696614270992
2023-08-08,-0.008502386437794107
2023-08-09,-0.010994689976023375
2023-08-10,0.0018482307133491638
2023-08-11,-0.006375646445855754
2023-08-14,0.011222248978313365
2023-08-15,-0.010611572952169745
2023-08-16,-0.01058902251437499
2023-08-17,-0.01092296938046522
2023-08-18,-0.001254970055483251
2023-08-21,0.01611160164718628
2023-08-22,-0.0014290925202907756
2023-08-23,0.015768771513845925
2023-08-24,-0.021375933521228796
2023-08-25,0.007751527811389991
2023-08-28,0.007527154490861276
2023-08-29,0.021839853238780904
2023-08-30,0.0055768552983350705
2023-08-31,0.0029982690659613453
2023-09-01,-0.0010582550862708873
2023-09-05,0.0012712842276008107
2023-09-06,-0.00880788578540559
2023-09-07,-0.0071515444795001715
2023-09-08,0.0013975833115265068
2023-09-11,0.01178264611346691
2023-09-12,-0.011088207270218753
2023-09-13,0.0038090291915608976
2023-09-14,0.008177058227558431
2023-09-15,-0.017122948268233018
2023-09-18,0.0010424898791852044
2023-09-19,-0.002131377828947123
2023-09-20,-0.014410337300526987
2023-09-21,-0.018324634429669695
2023-09-22,0.00013968298531574774
2023-09-25,0.004749854589233049
2023-09-26,-0.015016305784401052
2023-09-27,0.002343452197199225
2023-09-28,0.008365300590962299
2023-09-29,0.0007260297431135321
2023-10-02,0.0083459178994445
2023-10-03,-0.017549829291511276
2023-10-04,0.013608755788081073
2023-10-05,-0.002946563834005045
2023-10-06,0.016755508504394
2023-10-09,0.0050999208409232555
2023-10-10,0.005537828877416828
2023-10-11,0.007135569783559559
2023-10-12,-0.0034750541706483062
2023-10-13,-0.012569924895018625
2023-10-16,0.011306186596198087
2023-10-17,-0.0032753756411897372
2023-10-18,-0.013117840711982187
2023-10-19,-0.009356709713859157
2023-10-20,-0.014918017713776544
2023-10-23,0.003017621327908726
2023-10-24,0.009727908349247416
2023-10-25,-0.02447573287837357
2023-10-26,-0.019067193151018014
2023-10-27,0.004801263583268156
2023-10-30,0.01126518296415746
2023-10-31,0.004782315954402261
2023-11-01,0.01735692751500717
2023-11-02,0.018153269162111574
2023-11-03,0.01174872215273437
2023-11-06,0.004079499043069479
2023-11-07,0.009452593099990914
2023-11-08,0.0006438810139755002
2023-11-09,-0.007695556480086019
2023-11-10,0.022482264393562268
2023-11-13,-0.0031185932789159487
2023-11-14,0.02152647768153293
2023-11-15,0.0007525818373546045
2023-11-16,0.0008558943446161926
2023-11-17,0.00023314596700751977
2023-11-20,0.0121749307355703
2023-11-21,-0.005809682778242453
2023-11-22,0.0040930429735670515
2023-11-24,-0.001409830111427146
2023-11-27,-0.0008730765553293107
2023-11-28,0.0026211210357500736
2023-11-29,-0.0009740582762252092
2023-11-30,-0.0025141351162534242
2023-12-01,0.0028547528632054675
2023-12-04,-0.009283325995645075
2023-12-05,0.002510904888998189
2023-12-06,-0.005783802891933365
2023-12-07,0.013972130289154894
2023-12-08,0.004456745020912756
2023-12-11,0.008542270637615923
2023-12-12,0.007964074113525177
2023-12-13,0.012717270340979248
2023-12-14,-0.0008668214697135079
2023-12-15,0.0048339962441443785
2023-12-18,0.006298453679446148
2023-12-19,0.005109905589371522
2023-12-20,-0.014859897749549988
2023-12-21,0.01163546686732575
2023-12-22,0.001495885463277613
2023-12-26,0.006121784991342194
2023-12-27,0.002035667227989091
2023-12-28,-0.0004860260026160468
2023-12-29,-0.00432767480107088
2024-01-02,-0.016922276660334634
2024-01-03,-0.010581499241031023
2024-01-04,-0.0051465174581203366
2024-01-05,0.0011861295255932713
2024-01-08,0.020667893956210825
2024-01-09,0.0019755494515962813
2024-01-10,0.006777599853023286
2024-01-11,0.0020808178190332427
2024-01-12,0.0005129246844910451
2024-01-16,-9.763550316188585e-05
2024-01-17,-0.0056407337723141104
2024-01-18,0.014194143114514501
2024-01-19,0.01983103956383503
2024-01-22,0.0013058162263470674
2024-01-23,0.004149604365315307
2024-01-24,0.005549285978610374
2024-01-25,0.0012210556305611853
2024-01-26,-0.005957580768597537
2024-01-29,0.010240538835180057
2024-01-30,-0.006656570842333065
2024-01-31,-0.01958619398802741
2024-02-01,0.011775327532098423
2024-02-02,0.016900639801315842
2024-02-05,-0.0013052856697771675
2024-02-06,-0.0020074049658481696
2024-02-07,0.010290360690109468
2024-02-08,0.0018518917966079407
2024-02-09,0.009843123986133184
2024-02-12,-0.00391265313562561
2024-02-13,-0.015597058724930113
2024-02-14,0.01089736103825345
2024-02-15,0.0029776329256916423
2024-02-16,-0.00906771394350614
2024-02-20,-0.007548014857975294
2024-02-21,-0.0040018155215248985
2024-02-22,0.029275612563425035
2024-02-23,-0.0029447374852706876
2024-02-26,-0.0005264882653444047
2024-02-27,0.0024051836053411435
2024-02-28,-0.005324679372060381
2024-02-29,0.008569573378549356
2024-03-01,0.01505691729807368
2024-03-04,-0.0035680748183003486
2024-03-05,-0.017949634316191898
2024-03-06,0.006283715515330357
2024-03-07,0.01517803657593908
2024-03-08,-0.014434797895443663
