,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,285.7885,9.1184,18.3671,38.2683,0.5714,0.4965,0.1183,0.5652,0.7522,0.2383,3917.0,18.8583
QQQ,331.1241,9.9825,21.098,32.3525,0.6865,0.4731,0.146,0.5515,0.7457,0.3086,3917.0,
