date,RL Agent,QQQ
2009-03-31,0.9882773979813483,0.9846346451505653
2009-04-01,1.004362915359874,1.0140637386992684
2009-04-02,1.0281676927852517,1.058729418694848
2009-04-03,1.0293976822044792,1.0623791610513287
2009-04-06,1.0352546049594964,1.075503103840215
2009-04-07,1.0371579625256966,1.0724579564051369
2009-04-08,1.0097129205543196,1.0435801599905898
2009-04-09,1.0442341046548562,1.0825610588699253
2009-04-10,1.0441593270001652,1.088395239790242
2009-04-13,1.0498120603537522,1.0835773332514396
2009-04-14,1.040586219069101,1.0736514948398963
2009-04-15,1.0254620744158343,1.0615438264325243
2009-04-16,1.0343972613372059,1.0630372316168872
2009-04-17,1.0525316593157839,1.0815315045058265
2009-04-20,1.063260414913219,1.0836162246290078
2009-04-21,1.0437573245293081,1.057703421468941
2009-04-22,1.0462590274422263,1.0596424174975148
2009-04-23,1.0511018868255655,1.074177239864705
2009-04-24,1.0417049302147525,1.057297907715029
2009-04-27,1.0397772105635263,1.0595258619360834
2009-04-28,1.0042772610529755,1.031287876111042
2009-04-30,1.0266315650435147,1.0719006714216903
2009-05-01,1.0434599505768105,1.0900052005360366
2009-05-07,1.0811144644648696,1.1395834069463315
2009-05-08,1.0811598755020528,1.14530577515614
2009-05-11,1.0823736017580001,1.1476309578211148
2009-05-12,1.0653846475537099,1.1290092208136213
2009-05-13,1.0558753743686236,1.1340941498593857
2009-05-14,1.0306047882171852,1.1041333234365838
2009-05-15,1.0498342267669596,1.1249307247337061
2009-05-18,1.033005328152148,1.0974505279148785
2009-05-19,1.05104481300902,1.1279989935670336
2009-05-20,1.0654136915086885,1.134597959198676
2009-05-21,1.0610441742683592,1.1248251963006708
2009-05-22,1.0557134329475764,1.1201699695485252
2009-05-25,1.0595975946375515,1.1348845459656949
2009-05-26,1.055332492902813,1.1304904131568576
2009-05-27,1.0603560744114366,1.1460269256389741
2009-05-28,1.0748139373649133,1.147559222200905
2009-05-29,1.0902213091477582,1.1561932265923107
2009-06-01,1.1153289463260556,1.175043213300471
2009-06-02,1.1162196496230485,1.1782679962142557
2009-06-03,1.124716703000395,1.1828041774082352
2009-06-04,1.125994152725674,1.1739759532715348
2009-06-05,1.1361115149322156,1.1860022817855784
2009-06-08,1.14417178022901,1.197855021955842
2009-06-09,1.1272975431860175,1.1882862016475235
2009-06-10,1.1542197631729463,1.2131366062008502
2009-06-11,1.1608243915696475,1.2119029906757917
2009-06-12,1.1707060167362382,1.2306607289335005
2009-06-15,1.1548502783127141,1.2189864385292128
2009-06-16,1.1213240795575643,1.184165257051848
2009-06-17,1.1383049503078406,1.1948462759015974
2009-06-18,1.123473046561051,1.1781963791653192
2009-06-19,1.1165915608690242,1.188218141736779
2009-06-22,1.1283592311020945,1.1930760067946073
2009-06-23,1.093072335090675,1.1594848837041087
2009-06-24,1.095437695630522,1.164427764364731
2009-06-25,1.1212187885634024,1.1894104944588078
2009-06-26,1.132981564307338,1.1992828572261949
2009-06-29,1.113114028783576,1.1878793836096073
2009-06-30,1.126078327730479,1.2091237986062173
2009-07-01,1.1271987943589992,1.2068762801251058
2009-07-02,1.1242821149953963,1.1991323902806643
2009-07-03,1.1226306306033973,1.1918376484186257
2009-07-06,1.1020162974695664,1.175422048517941
2009-07-07,1.089267523085294,1.1714055652138433
2009-07-08,1.0636974079153694,1.1438390485082182
2009-07-09,1.0545490940755804,1.1280924277302151
2009-07-10,1.049039807424501,1.1276335569034202
2009-07-13,1.0081605227877533,1.0988637789186433
2009-07-14,1.0440305323202252,1.1245409809591127
2009-07-15,1.0459387747379965,1.125444375488661
2009-07-16,1.0596445449930274,1.1345397407035962
2009-07-17,1.060509779745346,1.1407514525573796
2009-07-21,1.1006247615095228,1.1719190973975255
2009-07-22,1.1040128462685537,1.1805567774983965
2009-07-23,1.1172143821758724,1.1890292878158757
2009-07-24,1.130233029388655,1.2074372408180172
2009-07-27,1.1392993758364007,1.224934685014226
2009-07-28,1.1373599803247942,1.2247646538086383
2009-07-29,1.1418432097989402,1.2279191239574905
2009-07-30,1.150294833895714,1.234229131396652
2009-07-31,1.158739155529875,1.2574950680278951
2009-08-03,1.1715379370588193,1.2569656472936213
2009-08-04,1.1655845349969642,1.2597023908474347
2009-08-05,1.1418720542009833,1.2448313003498077
2009-08-06,1.1614428017023026,1.2612905344789833
2009-08-07,1.161257687946927,1.264204542086042
2009-08-10,1.1762523829668246,1.2778238756538303
2009-08-11,1.1859953888007597,1.2852546187660843
2009-08-12,1.1746290287210153,1.2669862241523504
2009-08-13,1.1890607058261478,1.27696553820805
2009-08-14,1.2063421619817871,1.2866958525902947
2009-08-17,1.1754318576724456,1.2467836949322386
2009-08-18,1.174179871712569,1.2487688151860379
2009-08-19,1.1711483435504462,1.2389389009344112
2009-08-20,1.1885903545992875,1.260722340938414
2009-08-21,1.1716750611568176,1.2430913854887242
2009-08-24,1.204190186266227,1.2847191508968834
2009-08-25,1.198134464496525,1.2745578299370157
2009-08-26,1.20683362212773,1.2918414901278727
2009-08-27,1.1922132590305385,1.271717810804355
2009-08-28,1.1937289603957395,1.2790234612235165
2009-08-31,1.1784937400577706,1.2739713764203935
2009-09-02,1.1713296613817301,1.2482224387597147
2009-09-03,1.1585258518731218,1.2402307349545492
2009-09-04,1.1509462306057394,1.2368882107666024
2009-09-07,1.1698985480196626,1.2531374551711647
2009-09-08,1.1796778427165782,1.2619146936604433
2009-09-09,1.171159111571421,1.2520688908582247
2009-09-10,1.187079198914426,1.2765380887686195
2009-09-11,1.1764004013627496,1.2681190540952965
2009-09-14,1.1492976962342205,1.2387032998148142
2009-09-15,1.1447889779214953,1.2405926144799702
2009-09-16,1.1507161698994903,1.2470458560170048
2009-09-17,1.1669048180373356,1.2680546698940176
2009-09-18,1.1554188309221984,1.2591596901305768
2009-09-21,1.1554062436413326,1.2591596901305768
2009-09-24,1.1657011119861072,1.2802473539041834
2009-09-25,1.147713708184047,1.2464643824938517
2009-09-28,1.1057891600134016,1.215325669044336
2009-09-29,1.1137037102182943,1.226335841748138
2009-09-30,1.1091054522040575,1.2303462779173089
