,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,280.5811,8.6365,19.5232,34.4951,1.0913,0.4424,0.1108,0.5202,0.701,0.2504,4086.0,12.6965
QQQ,217.2578,7.4107,23.9499,40.8451,2.1746,0.3094,0.0561,0.4177,0.5324,0.1814,4086.0,
