date,QQQ Buy-and-Hold,Equal-Weight Monthly,Inverse Volatility,Momentum Top-20%,Supervised + MVO
2009-04-01,0.0,0.04000000000000007,0.0399999999999999,0.0399999999999999,0.0399999999999999
2009-04-02,0.0,0.01839132578021405,0.018391325780214022,0.018391325780214022,0.018391325780214022
2009-04-03,0.0,2.6511737104273347e-08,0.032585109231350176,0.032585109231350176,0.032585109231350176
2009-04-06,0.0,2.3032358392044427e-08,0.02369858822336192,0.02369858822336192,0.02369858822336192
2009-04-07,0.0,2.568622119170083e-08,0.016407056277833433,0.016407056277833433,0.016407056277833433
2009-04-08,0.0,2.4332990882641736e-08,0.38253467119309614,0.019206562790228157,0.019206562790228157
2009-04-09,0.0,2.2520700464212506e-08,0.044402218028134655,0.01653358982581157,0.01653358982581157
2009-04-14,0.0,1.971132906550266e-08,0.059035195956670034,0.02408814466707325,0.02408814466707325
2009-04-15,0.0,2.159477576618718e-08,0.04319151307517572,0.025262717200547295,0.025262717200547295
2009-04-16,0.0,2.175260769080034e-08,0.07590820055405269,0.016552590012949037,0.016552590012949037
2009-04-17,0.0,2.119487121227115e-08,0.027728633766724818,0.013236287211005452,0.013236287211005452
2009-04-20,0.0,2.1405535448326685e-08,0.04941764126447976,0.018129707518942332,0.018129707518942332
2009-04-21,0.0,2.208512340715063e-08,0.06607133383260758,0.024468250894447784,0.024468250894447784
2009-04-22,0.0,8.381903172580141e-08,0.048054734644062395,0.01516292702559378,0.01516292702559378
2009-04-23,0.0,2.1900070586861053e-08,0.030168905948192444,0.018430497668466904,0.018430497668466904
2009-04-24,0.0,2.1803536923853395e-08,0.023095063446279873,0.01434218058792116,0.01434218058792116
2009-04-27,0.0,1.923129256883871e-08,0.04667075740887845,0.01552322367622607,0.01552322367622607
2009-04-28,0.0,9.49949025136343e-08,0.017618204583039702,0.01602305869789948,0.01602305869789948
2009-04-29,0.0,8.381903162865689e-08,0.026622206308864575,0.015878910494598334,0.015878910494598334
2009-04-30,0.0,2.338974297924623e-08,0.048087911135743094,0.019364552744232634,0.019364552744232634
2009-05-04,0.0,2.4552663551585807e-08,0.04103096426179244,1.6223860990809251,0.02749516751678484
2009-05-05,0.0,0.10080751266434312,0.03828390334334085,0.6789089771558531,0.019611523745206458
2009-05-06,0.0,2.3687079249434806e-08,0.04888755795602247,0.4479582262808511,0.016117612400427014
2009-05-07,0.0,2.1702885020374874e-08,0.04596011067801529,0.4575220446593531,0.013120580949692668
2009-05-08,0.0,1.9232257696122357e-08,0.02713169584274656,0.46279940483964976,0.017503065750022515
2009-05-11,0.0,2.1759915480590308e-08,0.038381317867714884,0.4545039431832497,0.019815610869335337
2009-05-12,0.0,8.754432206589668e-08,0.019755148189773405,0.23829999211350106,0.015596821774504593
2009-05-13,0.0,2.247605040278655e-08,0.06133035567140466,0.4598835009705533,0.01864536802377538
2009-05-14,0.0,2.1494088717211035e-08,0.029125621121582207,1.5659073128343182,0.02959171298751777
2009-05-15,0.0,2.38761257223552e-08,0.018791924727333993,0.8952869510120804,0.013328528057777077
2009-05-18,0.0,2.3401202045580938e-08,0.022311601586462778,0.46220419363869375,0.017433989223663845
2009-05-19,0.0,8.568167691666573e-08,0.04951312532201803,0.46067396159332336,0.018248073600383094
2009-05-20,0.0,2.224845776013784e-08,0.05537895154909224,0.6668946138336108,0.019353279861731378
2009-05-21,0.0,2.0505578374185873e-08,0.049170806361153285,0.23673080352343162,0.01284464040127943
2009-05-22,0.0,1.8982445396803493e-08,0.03568195896607337,0.4570037196105017,0.011909845326205589
2009-05-25,0.0,2.21287658717928e-08,0.04359265998629552,0.23124777324818277,0.04087498542881289
2009-05-26,0.0,2.164691883729808e-08,0.05482900735935517,0.22925050080276427,0.006104866298695603
2009-05-27,0.0,2.1776001671997003e-08,0.03626139702373911,0.23462257428360098,0.01012886719693799
2009-05-28,0.0,2.0685336984960223e-08,0.03327367839300102,0.45777832342652064,0.011957566511882886
2009-05-29,0.0,2.5309056760070003e-08,0.03502075497598298,0.01775033829740741,0.013045209371190584
2009-06-01,0.0,9.313225739562836e-08,0.04799691105108786,0.6767670238761241,0.7555954203464302
2009-06-02,0.0,0.07807506414088158,0.06960160032225515,0.6834745990361033,0.6914844334833732
2009-06-03,0.0,2.2907688652235025e-08,0.029183574194200354,0.4596836103266118,0.5459843878292479
2009-06-04,0.0,8.568167690972683e-08,0.029235958683722432,0.4549130078687188,0.6485759319141712
2009-06-05,0.0,1.8969207583180436e-08,0.02625607009484071,0.45286252310792474,0.5822187140964206
2009-06-08,0.0,2.2546402071721428e-08,0.03482662515280705,0.23566817290434455,0.6438282321980547
2009-06-09,0.0,2.2600906372099994e-08,0.020463173199954048,0.23390917711237738,0.803205166709353
2009-06-10,0.0,2.2716568359032463e-08,0.060921229026639157,0.45103407451811406,0.73999566566735
2009-06-11,0.0,2.425559933807997e-08,0.06966154848012164,0.6719475370342357,0.8159060644300989
2009-06-12,0.0,2.1979207499162046e-08,0.02179804875916598,0.01109916053158283,0.6946262919671301
2009-06-15,0.0,2.1972990912888513e-08,0.028699140924761765,0.23124834036022215,0.6528323407745681
2009-06-16,0.0,2.182428281496951e-08,0.06154271138787103,0.6701851403504884,0.6291249294186965
2009-06-17,0.0,2.00924490795229e-08,0.03240010207602448,0.6791151939600282,0.5979807404445996
2009-06-18,0.0,2.320255743093469e-08,0.0500139537000067,0.8904129382948667,0.5924822033008357
2009-06-19,0.0,2.3029050316009103e-08,0.06143130654662261,0.4505146387050934,0.689499314367253
2009-06-22,0.0,1.8313613563136766e-08,0.02760497021243325,0.45121941270251675,0.5730107361922887
2009-06-23,0.0,2.331473121855443e-08,0.04185152217362903,0.23829278697778744,0.5140597406429397
2009-06-24,0.0,9.126961226027519e-08,0.035178581945279036,0.8888888888888891,0.6072032704872621
2009-06-25,0.0,8.381903197213214e-08,0.059887900365901615,0.4615514808390785,0.4058683634004303
2009-06-26,0.0,2.2755518101769123e-08,0.023715113896964162,0.6724992038397736,0.4964761666155787
2009-06-29,0.0,8.754432192017991e-08,0.0219150075223672,0.44710745475711056,1.0867361012806969
2009-06-30,0.0,2.0610996274289528e-08,0.06105654473053533,0.4539575857111825,0.5015460884763825
2009-07-01,0.0,2.1143679886787003e-08,0.02377302138516229,0.4456018973954734,0.49757588307029826
2009-07-02,0.0,0.06809462063171227,0.049220070600920166,0.2266416097468248,0.5482513983506475
2009-07-03,0.0,1.857584310677174e-08,0.0371542522198845,0.44628458573942215,0.5764386573155287
2009-07-06,0.0,2.2906097615904564e-08,0.013888890781715155,0.011259117075520658,0.5698799649500355
2009-07-07,0.0,2.229069766962466e-08,0.019028735785834187,0.009209339221044291,0.3665075323754413
2009-07-08,0.0,2.211517457703649e-08,0.021500442011329477,0.2264475283993117,0.5362443492587784
2009-07-09,0.0,2.4390102722204876e-08,0.0212681853664864,0.22948768162247518,0.6902853471940283
2009-07-10,0.0,2.2550021617356864e-08,0.03318481031185013,0.2278349003524987,0.5702964359590695
2009-07-13,0.0,2.214557796517691e-08,0.01093586976491464,0.44668612128281027,0.5086383303560424
2009-07-14,0.0,2.2191981422642337e-08,0.04812726352449571,0.44888040538599083,0.4950221989537657
2009-07-15,0.0,2.432016708506235e-08,0.019207779486846165,0.4500973209601825,0.40169119220919713
2009-07-16,0.0,2.376438573356565e-08,0.05224777983628859,0.4460687544320972,0.6091084553796329
2009-07-17,0.0,2.1762524095303437e-08,0.024644828564130646,0.6745450912396243,0.4918639361150365
2009-07-20,0.0,2.1005055743372747e-08,0.021647443182985966,0.4484421399526519,0.6174881953514573
2009-07-21,0.0,2.0649601095018566e-08,0.036953834692641664,0.4445964003035208,0.5880405332822395
2009-07-22,0.0,2.150552744564771e-08,0.024999087792026354,0.22963931961793133,0.5514549438208133
2009-07-23,0.0,8.568167685768513e-08,0.034367518613628315,0.448087769749721,0.4711157247464502
2009-07-24,0.0,2.159990156874736e-08,0.032502985365868334,0.22406659092598707,0.5878962517654841
2009-07-27,0.0,2.1742222987286564e-08,0.030613517257877358,0.6682183569655032,0.6044006787360976
2009-07-28,0.0,9.685754782592926e-08,0.026084098239829743,0.6762594197944756,0.4581389242823926
2009-07-29,0.0,8.754432196528272e-08,0.032846174186276215,0.6710234018579954,0.6314883864137256
2009-07-30,0.0,2.1461130476907453e-08,0.03075356325966158,0.23238152572687798,0.6794171051510819
2009-07-31,0.0,8.94069671526776e-08,0.06787036090164639,0.23416288746991032,0.6137438061109728
2009-08-03,0.0,8.940696724635266e-08,0.04425025276722237,0.44828517907680504,0.6683783689951976
2009-08-04,0.0,0.0597130613955808,0.04261232185387627,0.24160793074921785,0.630976876680268
2009-08-05,0.0,2.806047484649188e-08,0.0424043493111735,0.013376553288630924,0.627746589440617
2009-08-06,0.0,8.940696719778041e-08,0.045515883281506436,0.45839320384022736,0.7026932605878181
2009-08-07,0.0,9.126961232619468e-08,0.017827850611413315,0.22990834159193563,0.6203744956517945
2009-08-10,0.0,2.4239763436045836e-08,0.05211514096463427,0.235978006119376,0.6952693028153532
2009-08-11,0.0,2.0358985802770846e-08,0.053957841392147585,0.22543936617705781,0.516021215959777
2009-08-12,0.0,2.3676631363822587e-08,0.03032499049125264,0.23569187471316871,0.7090778554377216
2009-08-13,0.0,8.754432209365226e-08,0.044885728433569236,0.22779819207802016,0.7533420621639348
2009-08-14,0.0,2.2493624064062745e-08,0.037951850543620276,0.2282983888012538,0.5336597676161826
2009-08-17,0.0,2.179791944341425e-08,0.03377669707805227,0.01651702061291535,0.46161221968437904
2009-08-18,0.0,2.269792873446641e-08,0.09543812679936985,0.009493423003694768,0.5767936261784534
2009-08-19,0.0,9.499490257261489e-08,0.026085840842837035,0.2295975939457034,0.4160460809773133
2009-08-20,0.0,2.345021140118253e-08,0.018383168425877647,0.4483519261133472,0.4702898255178199
2009-08-21,0.0,9.313225744246589e-08,0.04356550883639654,0.4499723889768735,0.41029853000586514
2009-08-24,0.0,2.4063909191684996e-08,0.04547062603397118,0.23478573116745052,0.6965505579719827
2009-08-25,0.0,2.547820356253727e-08,0.03198438214147383,0.45286946805139533,0.4535932645109555
2009-08-26,0.0,2.2219628852127027e-08,0.04776931277052203,0.23397672543807493,0.504080745225417
2009-08-27,0.0,2.5224572040502546e-08,0.027382271170494136,0.4595447451141114,0.43781022979202994
2009-08-28,0.0,2.299999963054078e-08,0.04699493050495997,0.23154849833582594,0.49427733177145095
2009-08-31,0.0,2.3005372880996466e-08,0.053585943116811745,0.23262690377859052,0.5078177384211234
2009-09-01,0.0,2.258840907203019e-08,0.03064431001792418,0.4459379830124047,0.6661908723744081
2009-09-02,0.0,0.056364550265052174,0.028220831138644712,0.44975156814030365,0.7229470743119051
2009-09-03,0.0,2.253589589593097e-08,0.030477778295422905,0.6760686357971173,0.6013821711794906
2009-09-04,0.0,2.2743137408076652e-08,0.021814544698279842,0.6727438322434443,0.7278924298014537
2009-09-07,0.0,2.4400901636051353e-08,0.03487420985548637,0.4521636441236912,0.5572523627640142
