,RL Agent,QQQ
2009-03-31,1.027505230845634,1.041427028470891
2009-04-01,1.0401006873623986,1.0617573182472018
2009-04-02,1.082355992665259,1.117760181698352
2009-04-03,1.0672549505552338,1.1377064311101943
2009-04-06,1.0503845668706098,1.1012662160400588
2009-04-07,1.0385135698105705,1.074031547042497
2009-04-08,1.043783722079491,1.0932105943926844
2009-04-09,1.0745899458944297,1.1269662298665162
2009-04-14,1.090877221802825,1.1300346615414425
2009-04-15,1.0834782058300407,1.1430768455417772
2009-04-16,1.0982383494533432,1.1549681009257327
2009-04-17,1.1217017238438232,1.1538166702137629
2009-04-20,1.0648013170224118,1.086690004488107
2009-04-21,1.0696898872133571,1.1158421765442155
2009-04-22,1.10415707023354,1.1108559907629476
2009-04-23,1.0958725563922682,1.1361721525107826
2009-04-24,1.128741012606747,1.1687768593682348
2009-04-27,1.1241307070975783,1.1423097690040203
2009-04-28,1.0957767169077266,1.1365552514460198
2009-04-29,1.122462296185647,1.171461815536231
2009-04-30,1.1396348435183932,1.186037901564285
2009-05-04,1.1710707576898434,1.2443424967242969
2009-05-05,1.1639866255968432,1.2266979790213164
2009-05-06,1.1729796381337156,1.25700082864601
2009-05-07,1.1655601999331864,1.2370540771385776
2009-05-08,1.200896873400218,1.2968937040413864
2009-05-11,1.1737143151675575,1.2639050195814145
2009-05-12,1.1590594228272804,1.2692750574413045
2009-05-13,1.0933120835591412,1.2224784932061132
2009-05-14,1.0998976342548046,1.2362873771725127
2009-05-15,1.115639685620225,1.2155735491273234
2009-05-18,1.154932270501549,1.2761797504722994
2009-05-19,1.193710259324852,1.289605158931769
2009-05-20,1.2077137210446538,1.3022634908534816
2009-05-21,1.1687553354600717,1.3007293377779672
2009-05-22,1.1871601965766527,1.3130036920971597
2009-05-25,1.1902293657489447,1.3130036920971597
2009-05-26,1.2008922341960933,1.3425394651840956
2009-05-27,1.2130715837662214,1.3103184848813683
2009-05-28,1.1934460541461387,1.3348680721870363
2009-05-29,1.19340001585333,1.3532796664277735
2009-06-01,1.2491258468950799,1.3897205091173965
2009-06-02,1.248823739849719,1.4050631695876177
2009-06-03,1.2230948746420167,1.3594167808254207
2009-06-04,1.2203736426988439,1.3743767189320975
2009-06-05,1.2327322382445804,1.3498277592459174
2009-06-08,1.2074538879187748,1.3402381100469263
2009-06-09,1.205472187166589,1.3617190146298728
2009-06-10,1.2221218265399445,1.3525129664617088
2009-06-11,1.2355996632894635,1.3705409596716192
2009-06-12,1.2243926063052584,1.3693901565791373
2009-06-15,1.1751660193894182,1.3030308184390336
2009-06-16,1.1659696912013386,1.2884546068870817
2009-06-17,1.130486874628603,1.2876877813971197
2009-06-18,1.1468521750755736,1.2949749457438644
2009-06-19,1.1593361959507258,1.3097206145574707
2009-06-22,1.11900848996773,1.268717856860204
2009-06-23,1.107321794595554,1.285670988935633
2009-06-24,1.143852956985317,1.2959213959311802
2009-06-25,1.1335075140912683,1.3199710215530176
2009-06-26,1.1246836860326377,1.305383763898084
2009-06-29,1.148839057817711,1.3262792250229878
2009-06-30,1.1288487369767368,1.3128745280066092
2009-07-01,1.1507475209347526,1.334953051865658
2009-07-02,1.114167841346338,1.2911905257574718
2009-07-03,1.1215220078202333,1.2911905257574718
2009-07-06,1.1017843401378444,1.2840940322110634
2009-07-07,1.0981232014068112,1.2462451879629357
2009-07-08,1.075259953749947,1.2359947809673886
2009-07-09,1.0915777372947715,1.2608329477134594
2009-07-10,1.0801546732873573,1.2442744627718396
