,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,291.751,9.2188,23.7223,49.981,0.6905,0.3886,0.0717,0.4897,0.6461,0.1844,3917.0,20.0357
QQQ,331.1241,9.9825,21.098,32.3525,0.6865,0.4731,0.146,0.5515,0.7457,0.3086,3917.0,
