,RL Agent,QQQ
2009-03-31,0.9847504262787051,0.9846346451505653
2009-04-01,1.0017742229654798,1.0140637386992684
2009-04-02,1.0288153813383523,1.058729418694848
2009-04-03,1.0285613928519675,1.0623791610513287
2009-04-06,1.0363665505136161,1.075503103840215
2009-04-07,1.0360968644673425,1.0724579564051369
2009-04-08,1.0066134741433805,1.0435801599905898
2009-04-09,1.050010526400158,1.0825610588699253
2009-04-10,1.0478280870081358,1.088395239790242
2009-04-13,1.0542322413015541,1.0835773332514396
2009-04-14,1.0447499806194696,1.0736514948398963
2009-04-15,1.021517806170054,1.0615438264325243
2009-04-16,1.0390913804179966,1.0630372316168872
2009-04-17,1.0533313657317094,1.0815315045058265
2009-04-20,1.075645278009176,1.0836162246290078
2009-04-21,1.0556338193026835,1.057703421468941
2009-04-22,1.059187162935461,1.0596424174975148
2009-04-23,1.0643364026854316,1.074177239864705
2009-04-24,1.0478823154869823,1.057297907715029
2009-04-27,1.0494310307025922,1.0595258619360834
2009-04-28,0.9980803843117511,1.031287876111042
2009-04-30,1.0290022558432717,1.0719006714216903
2009-05-01,1.048969770911811,1.0900052005360366
2009-05-07,1.100259776659874,1.1395834069463315
2009-05-08,1.1093400113018956,1.14530577515614
2009-05-11,1.106173930688267,1.1476309578211148
2009-05-12,1.0847771969185682,1.1290092208136213
2009-05-13,1.0786647289552893,1.1340941498593857
2009-05-14,1.0481554470385477,1.1041333234365838
2009-05-15,1.072849631657944,1.1249307247337061
2009-05-18,1.0507965907022458,1.0974505279148785
2009-05-19,1.0741653729735583,1.1279989935670336
2009-05-20,1.0899950738749717,1.134597959198676
2009-05-21,1.0848528342595183,1.1248251963006708
2009-05-22,1.0828372154704922,1.1201699695485252
2009-05-25,1.0939669864640214,1.1348845459656949
2009-05-26,1.0900395363599917,1.1304904131568576
2009-05-27,1.0961072525225564,1.1460269256389741
2009-05-28,1.1199431651421101,1.147559222200905
2009-05-29,1.1390605882467322,1.1561932265923107
2009-06-01,1.1683060077658889,1.175043213300471
2009-06-02,1.1694539648572366,1.1782679962142557
2009-06-03,1.1792151008350387,1.1828041774082352
2009-06-04,1.1872143880668262,1.1739759532715348
2009-06-05,1.195329949432798,1.1860022817855784
2009-06-08,1.201599983021423,1.197855021955842
2009-06-09,1.1762609905352313,1.1882862016475235
2009-06-10,1.2138272761817226,1.2131366062008502
2009-06-11,1.2246312009963658,1.2119029906757917
2009-06-12,1.2413317594198627,1.2306607289335005
2009-06-15,1.2162659425253266,1.2189864385292128
2009-06-16,1.1672521764062274,1.184165257051848
2009-06-17,1.2008771014521715,1.1948462759015974
2009-06-18,1.1801244458142175,1.1781963791653192
2009-06-19,1.1678217880730597,1.188218141736779
2009-06-22,1.1878817832598374,1.1930760067946073
2009-06-23,1.138821636906129,1.1594848837041087
2009-06-24,1.1425556768360774,1.164427764364731
2009-06-25,1.1766728432487064,1.1894104944588078
2009-06-26,1.1960439424275169,1.1992828572261949
2009-06-29,1.1638780412024545,1.1878793836096073
2009-06-30,1.181561459513125,1.2091237986062173
2009-07-01,1.1825703036892445,1.2068762801251058
2009-07-02,1.1853102117551888,1.1991323902806643
2009-07-03,1.1881965305267514,1.1918376484186257
2009-07-06,1.1583720011833787,1.175422048517941
2009-07-07,1.1371808695929668,1.1714055652138433
2009-07-08,1.1020269981554092,1.1438390485082182
2009-07-09,1.0894443987778637,1.1280924277302151
2009-07-10,1.0791967472309754,1.1276335569034202
2009-07-13,1.0209643502571966,1.0988637789186433
2009-07-14,1.0703718271727087,1.1245409809591127
2009-07-15,1.069966634765872,1.125444375488661
2009-07-16,1.0912614673076633,1.1345397407035962
2009-07-17,1.0880167328076764,1.1407514525573796
2009-07-21,1.1474846812904862,1.1719190973975255
2009-07-22,1.1518900386813935,1.1805567774983965
2009-07-23,1.1763711287337775,1.1890292878158757
2009-07-24,1.191951368016409,1.2074372408180172
2009-07-27,1.2018483117362053,1.224934685014226
2009-07-28,1.2016573358972418,1.2247646538086383
2009-07-29,1.2089627571890864,1.2279191239574905
2009-07-30,1.2200009633132916,1.234229131396652
2009-07-31,1.2309224560191803,1.2574950680278951
2009-08-03,1.2521283707326534,1.2569656472936213
2009-08-04,1.242281360509852,1.2597023908474347
2009-08-05,1.2072542626549199,1.2448313003498077
2009-08-06,1.2364574995394655,1.2612905344789833
2009-08-07,1.2315890756901684,1.264204542086042
2009-08-10,1.2566109366961302,1.2778238756538303
2009-08-11,1.2749068628725142,1.2852546187660843
2009-08-12,1.2605230007244115,1.2669862241523504
2009-08-13,1.2779609652680852,1.27696553820805
2009-08-14,1.3067991171222553,1.2866958525902947
2009-08-17,1.2604325060616741,1.2467836949322386
2009-08-18,1.2623233578527346,1.2487688151860379
2009-08-19,1.2581203030994066,1.2389389009344112
2009-08-20,1.285827806444235,1.260722340938414
2009-08-21,1.2588106548315934,1.2430913854887242
2009-08-24,1.3026261078017487,1.2847191508968834
2009-08-25,1.299318613512503,1.2745578299370157
2009-08-26,1.3100867788635944,1.2918414901278727
2009-08-27,1.2889094117010698,1.271717810804355
2009-08-28,1.290579083799185,1.2790234612235165
2009-08-31,1.2657624349572123,1.2739713764203935
2009-09-02,1.2590500738847545,1.2482224387597147
2009-09-03,1.2380829197916106,1.2402307349545492
2009-09-04,1.2291298788864304,1.2368882107666024
2009-09-07,1.2568355802104234,1.2531374551711647
2009-09-08,1.2755837883265981,1.2619146936604433
2009-09-09,1.2648293197870284,1.2520688908582247
2009-09-10,1.2906576115892872,1.2765380887686195
2009-09-11,1.2729977766664333,1.2681190540952965
2009-09-14,1.2305333320117577,1.2387032998148142
2009-09-15,1.2237374896922888,1.2405926144799702
2009-09-16,1.2346149262807533,1.2470458560170048
2009-09-17,1.2611818482977382,1.2680546698940176
2009-09-18,1.2422267171279116,1.2591596901305768
2009-09-21,1.2421736854884655,1.2591596901305768
2009-09-24,1.2544366390485,1.2802473539041834
2009-09-25,1.2321792402800702,1.2464643824938517
2009-09-28,1.1704417135854943,1.215325669044336
2009-09-29,1.1836358048032216,1.226335841748138
2009-09-30,1.1752303911622193,1.2303462779173089
2009-10-01,1.1465567362243787,1.2115763268184734
2009-10-02,1.110659481135649,1.1816143146829408
2009-10-05,1.0834026103974728,1.1746474223909509
2009-10-06,1.0924390163514224,1.1767490982061817
2009-10-07,1.121725790499837,1.1898378253269652
2009-10-08,1.1302688570792805,1.193828815807352
2009-10-09,1.1622429187722298,1.2161598179504094
2009-10-13,1.1781460673830753,1.2234654683695707
2009-10-14,1.1603438603856175,1.2214803481157712
2009-10-15,1.179419333491909,1.2431460468456121
2009-10-16,1.1787272501828518,1.2454419424061378
2009-10-19,1.1797876774741418,1.2428861386150347
2009-10-20,1.1866292012526698,1.2550679140680778
2009-10-21,1.1836020398901765,1.2546490017603087
2009-10-22,1.1733262665220594,1.246608802304456
2009-10-23,1.1861362682297545,1.2485296569282494
2009-10-26,1.1939688265736437,1.2581980771059498
2009-10-27,1.1630768248965968,1.2399660838730495
2009-10-28,1.1376631957011534,1.2232821571813992
2009-10-29,1.1061183018149343,1.2009474793288766
2009-10-30,1.1215560265308575,1.218387890742737
2009-11-02,1.0961840952415678,1.1902446433648814
2009-11-04,1.102547609280739,1.1952663739220977
2009-11-05,1.0898550831198626,1.1798623055520043
2009-11-06,1.1015489297672287,1.1885933012447845
2009-11-09,1.1027958085425518,1.1909780066888422
2009-11-10,1.1109572133631573,1.198474319715106
2009-11-11,1.1087189942559075,1.1985895709925336
2009-11-12,1.0921697521398779,1.1904316302625186
2009-11-13,1.0819913084378134,1.186281517133667
2009-11-16,1.0785438513798997,1.1888155038105246
2009-11-17,1.063541527072607,1.1813787135633438
2009-11-18,1.0525480245978753,1.1749278434517707
2009-11-19,1.0419199914627348,1.1594678094407866
2009-11-20,1.0301226121953613,1.1531796191158705
2009-11-24,1.0183116936496586,1.1415114944177827
2009-11-25,1.0228912241875718,1.1463754066105378
2009-11-26,1.0121810865193437,1.1392847259094592
2009-11-27,0.9689943597351743,1.102650708238071
2009-11-30,1.0015841328717054,1.1347084676251806
2009-12-01,1.0268086715365874,1.1622276743928495
2009-12-02,1.0276431827383081,1.1666885628284271
2009-12-03,1.0630769797138515,1.2114585855443116
2009-12-04,1.0648917168414394,1.2169126269631545
2009-12-07,1.090287440420292,1.2345192753018641
2009-12-08,1.0898563714912883,1.2312252467646043
2009-12-09,1.0768070714449156,1.2147428912371792
2009-12-10,1.0564898667015183,1.1975138924032092
2009-12-11,1.0922073442791762,1.2272671005268592
2009-12-14,1.1004111823371459,1.227001145161355
2009-12-15,1.1008881350276611,1.2243057829818442
2009-12-16,1.1015411975633294,1.2357104423111624
2009-12-17,1.1001911207571702,1.2340579144783348
2009-12-18,1.0975849895782708,1.231417095084438
2009-12-21,1.1002343741543756,1.2364461770605848
2009-12-22,1.1293723204639985,1.2600691317950528
2009-12-24,1.1513386906462704,1.2793610336379586
2009-12-25,1.1422115836324593,1.2742360275018954
2009-12-28,1.158630701238224,1.2911761867146578
2009-12-29,1.1559341142515906,1.2916411046763798
2009-12-30,1.145680105548268,1.280516984979154
2010-01-04,1.1596290434973877,1.2936724677266782
2010-01-05,1.1627157884579897,1.296955587706815
2010-01-06,1.1636095105049953,1.3029803126629615
2010-01-07,1.1534135074534457,1.2969349563053003
2010-01-08,1.1677214885422036,1.3110994805866814
2010-01-12,1.1783394646040979,1.3209123205749855
2010-01-13,1.1521707065389146,1.3034149949500498
2010-01-14,1.1777357314275891,1.3243775660305637
2010-01-15,1.181866436728032,1.333413408466416
2010-01-18,1.163925687903842,1.3179910801202694
2010-01-19,1.1496919563623145,1.3070417344795542
2010-01-20,1.1506816415707202,1.3037172331251146
2010-01-21,1.1655051991347025,1.319609577997725
2010-01-22,1.13393910318398,1.285872612241346
2010-01-25,1.124313577721538,1.276419161781728
2010-01-26,1.0992325782856218,1.2536643859087055
2010-01-27,1.0841688940608365,1.2447766389929222
2010-01-28,1.0992965691964895,1.2644716831642784
2010-01-29,1.0762392156630858,1.2382152604548442
2010-02-01,1.0688929936126168,1.2390626893435017
2010-02-02,1.0891387154906458,1.2592264457573181
2010-02-03,1.0940542819816375,1.2632623747501996
2010-02-04,1.0875070302507952,1.2573919110203222
2010-02-05,1.055790365674846,1.2211015128983014
2010-02-08,1.0334337627125025,1.2083200039460518
2010-02-09,1.0334668341013957,1.2060228041015224
2010-02-10,1.0431758271942582,1.2097976391510958
2010-02-12,1.0582830981420257,1.2253633201663883
2010-02-15,1.0496452518769768,1.2157846584424046
2010-02-16,1.0526820813202613,1.218328367963654
2010-02-17,1.080471251207829,1.2514242188465239
2010-02-18,1.0822429497773818,1.2549283556796702
2010-02-19,1.0621322167675655,1.2291745565967953
2010-02-22,1.0915459974805417,1.2627936625077392
2010-02-23,1.0871489987729084,1.256920708781127
2010-02-24,1.0698207381615579,1.23831118461476
2010-02-25,1.0556153439753488,1.226549507182217
