Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,357.7371,10.3681,21.0701,31.7989,0.6865,0.4921,0.1604,0.5686,0.7682,0.3261,3931,0.0,0.0
Equal-Weight Monthly,514.6396,12.4027,20.8564,39.3275,3.0595,0.5947,0.1875,0.663,0.8918,0.3154,3931,0.2612,0.2054
Inverse Volatility,492.1439,12.1242,19.7649,38.2651,3.0397,0.6134,0.1944,0.6762,0.9029,0.3168,3931,4.1233,3.2417
Momentum Top-20%,196.4612,7.2863,21.0195,45.0584,3.5675,0.3466,0.0561,0.437,0.5934,0.1617,3931,35.1907,27.6669
Supervised + MVO,327.9845,9.8235,21.7248,38.4648,3.5913,0.4522,0.1155,0.5382,0.7246,0.2554,3931,56.1011,44.1067
