date,QQQ Buy-and-Hold,Equal-Weight Monthly,Inverse Volatility,Momentum Top-20%,Supervised + MVO
2009-04-01,0.0,0.01020408163265297,0.010204081632653138,0.010204081632653138,0.010204081632653138
2009-04-02,0.0,0.020458045616010546,0.020458045616010556,0.020458045616010556,0.020458045616010556
2009-04-03,0.0,2.0663834699764794e-08,0.02223242143368976,0.02223242143368976,0.02223242143368976
2009-04-06,0.0,2.3184462959700836e-08,0.023553394570267797,0.023553394570267797,0.023553394570267797
2009-04-07,0.0,2.3778605490881732e-08,0.02019726095678813,0.02019726095678813,0.02019726095678813
2009-04-08,0.0,2.2746935971103277e-08,0.3262494406748024,0.016368700946890212,0.016368700946890212
2009-04-09,0.0,8.847564455724544e-08,0.16395221454006198,0.020184555590480067,0.020184555590480067
2009-04-10,0.0,2.2089817585356497e-08,0.08950532950488854,0.022536241067763408,0.022536241067763408
2009-04-13,0.0,2.2835000113019532e-08,0.03964599734239263,0.018948936939031612,0.018948936939031612
2009-04-14,0.0,2.2552294086028435e-08,0.05778188154805812,0.023183368261902912,0.023183368261902912
2009-04-15,0.0,2.0982596701801803e-08,0.035516849016216614,0.017191402601372988,0.017191402601372988
2009-04-16,0.0,2.2599181753388264e-08,0.04313984602647872,0.020789502832343383,0.020789502832343383
2009-04-17,0.0,2.197192396427572e-08,0.01814578175673614,0.013784131848544795,0.013784131848544795
2009-04-20,0.0,2.1550167130825193e-08,0.04088425544607924,0.02209446210579008,0.02209446210579008
2009-04-21,0.0,2.3288007576158232e-08,0.025568939213175292,0.018679323546824576,0.018679323546824576
2009-04-22,0.0,2.3629413593330428e-08,0.038783994726004994,0.016313081909313687,0.016313081909313687
2009-04-23,0.0,2.1494876495040116e-08,0.024689391015154803,0.017766812566529285,0.017766812566529285
2009-04-24,0.0,9.35979188052341e-08,0.03831687556775833,0.015936184333269463,0.015936184333269463
2009-04-27,0.0,2.3434167523150862e-08,0.02250845295226704,0.01699182277201399,0.01699182277201399
2009-04-28,0.0,2.107071566184726e-08,0.03313724147274388,0.01797140076941103,0.01797140076941103
2009-04-30,0.0,2.1323736721680364e-08,0.02530282698485837,1.6062153950916467,0.02252595613169467
2009-05-01,0.0,9.080395101546818e-08,0.08217665461331493,0.4214621417831552,0.02197528035765774
2009-05-07,0.0,0.0942207355785438,0.06829899244319378,0.3726263582216426,0.026532439562177386
2009-05-08,0.0,2.2676251147657478e-08,0.09389222188842113,0.4711584947490038,0.02700824735256948
2009-05-11,0.0,2.3128588734315503e-08,0.0345455203925399,0.3671037716040756,0.018411717197775217
2009-05-12,0.0,2.2150206307157416e-08,0.04370823466192034,0.32346948098664163,0.021570194001999055
2009-05-13,0.0,2.159320907062917e-08,0.03896367079665389,0.3210790616869185,0.017761679878704778
2009-05-14,0.0,2.206946715394703e-08,0.05437408887212418,0.21633008977894191,0.020243167430639974
2009-05-15,0.0,2.3755591708161938e-08,0.026072631623153455,0.7253723411739856,0.02067294077873103
2009-05-18,0.0,2.4021624699804844e-08,0.055127388095881545,0.5218909995087981,0.019197821159127763
2009-05-19,0.0,2.4265659217224955e-08,0.037019724953013686,0.42957534397237873,0.02042643255691871
2009-05-20,0.0,8.894130581593024e-08,0.04566112544734678,0.5284227859173045,0.017259399922145792
2009-05-21,0.0,2.3929380223858265e-08,0.02389879416004749,0.5233284804619107,0.016940469979814958
2009-05-22,0.0,2.1262542444604182e-08,0.024784863370237043,0.31553272190716863,0.011867453146120591
2009-05-25,0.0,2.2612483839383468e-08,0.021220335447537618,0.41826617189338056,0.012310779506583214
2009-05-26,0.0,2.212669345750401e-08,0.03257474560313059,0.2664148395869263,0.014386925527138992
