,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,275.4908,8.5478,18.7054,33.5209,1.0476,0.457,0.1165,0.5301,0.7095,0.255,4086.0,10.6134
QQQ,217.2578,7.4107,23.9499,40.8451,2.1746,0.3094,0.0561,0.4177,0.5324,0.1814,4086.0,
