Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,238.2028,7.8072,23.9204,39.6878,1.6429,0.3264,0.0642,0.4333,0.5521,0.1967,4100,0.0,0.0
Equal-Weight Monthly,384.792,10.2351,20.6314,39.3977,1.1389,0.4961,0.1289,0.5738,0.7614,0.2598,4100,0.8593,0.7046
Inverse Volatility,440.7137,10.9552,19.1772,38.7502,1.0873,0.5713,0.1615,0.6372,0.8431,0.2827,4100,4.7759,3.9162
Momentum Top-20%,209.0267,7.2241,21.0701,33.3692,1.5476,0.3429,0.0742,0.4348,0.5952,0.2165,4100,39.1838,32.1307
Supervised + MVO,220.7781,7.4975,21.2428,36.8393,1.7937,0.3529,0.0718,0.4438,0.5982,0.2035,4100,50.6979,41.5722
