Series,AR (%),ARC (%),ASD (%),MD (%),MLD,IR1,IR2,Sharpe
Buy&Hold,486.78872258811356,12.680657293285424,16.52719029397072,28.625484655994082,1.7023809523809523,0.7672603187676403,0.33988473117404777,0.8054992467675132
LSTM_1,514.5950336575045,13.03319614596823,14.724316760446907,28.163154931407973,1.7896825396825398,0.8851477700465235,0.40962401170180196,0.9061613286730632
LSTM_2,390.49357505986666,11.326087709775766,12.754288766791491,25.463407614469503,1.753968253968254,0.8880218973295987,0.3949908845523568,0.9054167081675363
LSTM_NC_DAILY,487.8406274220464,12.694274601310763,16.13583195625789,28.762555030547045,1.9761904761904763,0.7867133616489851,0.3472137796759073,0.8218287632358565
LSTM_NC_DAILY_2,483.4382604372423,12.637132050140899,15.764753274618254,28.767299931779988,1.7896825396825398,0.8016067127727953,0.35213627645319234,0.8341937132745127
TRANSFORMERS,451.31569322974804,12.207579134841296,14.771447550857268,27.915678091580553,1.7738095238095237,0.8264307944642043,0.3613997585799043,0.854091367782434
