date,Benchmark,LSTM_1 (EW),LSTM_2 (EW),LSTM_NC_DAILY (EW),LSTM_NC_DAILY_2 (EW),TRANSFORMERS (EW)
2009-04-06,0.9926169593690068,0.9942292282831325,0.9972343992755627,0.9983471485439511,0.9955076539740182,0.9946034646165318
2009-04-07,0.9747823407064696,0.981993113852669,0.9878290032674047,0.984740254818652,0.9826863090161987,0.9825283160244606
2009-04-08,0.977316288924777,0.990087587460868,0.9866403771934943,0.9873873047646571,0.9847160421822968,0.9887829724714617
2009-04-09,1.0096382067483034,1.0164699573099425,1.0145540842210627,1.0223764417965446,1.0198388609012763,1.0160616571666654
2009-04-14,1.0033790001219107,1.0175949028920992,1.014408334991193,1.0213027465294315,1.0201528611978434,1.017640842007607
2009-04-15,1.0025407858254305,1.0078237094087172,1.0058277885165525,1.009609760251893,1.0084838123969948,1.009741491104071
2009-04-16,1.0151513418664975,1.0278615720847943,1.020395359365421,1.028491462586479,1.029967389878852,1.0275596630567359
2009-04-17,1.0214135748424478,1.0410555126387084,1.0332128069021822,1.0431567492264022,1.0448006025183387,1.0395072364510793
2009-04-20,0.991325193329899,1.0165485019819938,1.0116641340214731,1.0207097090944839,1.0208457886005873,1.0140660657426546
2009-04-21,0.9969000618071966,1.0199500007195128,1.0113135522794117,1.0243279542344152,1.021133842655258,1.016933626533921
2009-04-22,0.9970409090834835,1.0347727741780788,1.0246713951979598,1.0380175294054774,1.0371875015623182,1.0315662701587716
2009-04-23,1.0124169715567843,1.029798411777889,1.0216897928695412,1.0347769587565012,1.0325870343159036,1.0265988558850825
2009-04-24,1.0227102284828626,1.0427870052656811,1.0320007552293353,1.0438827598852143,1.0441962143813526,1.0388449269980724
2009-04-27,1.01611351482702,1.03691105745153,1.026752452967073,1.0411755697211316,1.0382774163930655,1.033679243634878
2009-04-28,1.0028697971616294,1.0140554238658193,1.0075704251684372,1.0128938799179392,1.010283333624844,1.0127088584246873
2009-04-30,1.0235426204288882,1.0331482075121572,1.0251993330188407,1.0390056385930835,1.0377570214585203,1.0349339223552898
2009-05-07,1.0256603321147693,1.0216142271439437,1.025344868137814,1.0380943545084125,1.035503830097278,1.0296173707778287
2009-05-08,1.0441150116774698,1.030124725490679,1.032351315634228,1.0489241117842352,1.0461363109379025,1.0394129287012581
2009-05-11,1.0371887794143044,1.020702868706932,1.0257070483004764,1.0396291092351058,1.035507962116768,1.0296257829939903
2009-05-12,1.0288204194919153,1.0066226883020581,1.0119627366340618,1.0209238315844176,1.0175439282304464,1.0136893365166497
2009-05-13,1.0085237535067686,0.9734720813646707,0.9837056356142996,0.9862292221535058,0.9814044791231563,0.9797997177340501
2009-05-14,1.0072068140697328,0.9776909495118414,0.9824187278306014,0.9863064824714581,0.9806655897076905,0.9793018037576097
2009-05-15,1.0077042890936092,0.9885180270559738,0.9922695132591545,1.0008741473904206,0.9936244163459376,0.991394125667748
2009-05-18,1.0250037478899032,1.010065019331145,1.0071659981384593,1.0179906306883566,1.0138962754474568,1.0103252128107552
2009-05-19,1.0397054074386434,1.031526251651174,1.0253887553484775,1.0384594778890963,1.0381108297568649,1.033039128449958
2009-05-20,1.0439255808923331,1.038035053632869,1.0316229546035662,1.0503590005831984,1.046564955125704,1.041037406784738
2009-05-21,1.0341233811529242,1.0190289540859183,1.0159405199983238,1.0292691358934323,1.02578721361314,1.0216213873657678
2009-05-22,1.0348227459484431,1.0240460943305867,1.0176156189947294,1.0343754185388039,1.030826638117488,1.026440906332384
2009-05-26,1.0541020810548707,1.0398823809736495,1.0293652166877565,1.051040139189163,1.0468450610080293,1.0413028657676677
2009-05-27,1.048074254529719,1.0407711190476332,1.0304765907275972,1.052434528815741,1.0486474766259952,1.0430611312269134
2009-05-28,1.0591313594153193,1.043407059535928,1.034436211904521,1.061062299863866,1.0554993890755695,1.0490896696205458
2009-05-29,1.0710007521485392,1.0545981902679216,1.0448081459644216,1.0771534690583926,1.0686296933179122,1.0613679150225914
2009-06-01,1.0966256572344544,1.0936564933036392,1.0765610213502244,1.1202557652112912,1.1108459447728618,1.0994110610136774
2009-06-02,1.1021668153420217,1.0887398995387663,1.0738186729196522,1.11634186696405,1.105770648392484,1.0952846264587053
2009-06-03,1.090536728295452,1.0770671134497616,1.0664314444368597,1.1058548519117957,1.0942641690912622,1.0854938067696194
2009-06-04,1.0959263972504976,1.0842390862808298,1.0700661596884327,1.1186651698309802,1.102467049879971,1.0929710576460439
2009-06-05,1.093541229610158,1.0893700160453892,1.0759874866765666,1.1247475458746377,1.1084000057793222,1.098506576698458
2009-06-08,1.0935042730220934,1.0812632595214302,1.0708691516700024,1.1171016525003712,1.1001193078773925,1.0907404021644356
2009-06-09,1.0992178721871098,1.0828779359752048,1.070574376305412,1.115512662304044,1.1007558212281316,1.0913347161868696
2009-06-10,1.1031141273324547,1.0965475959194733,1.082533354635703,1.1315967275691987,1.1159569866758308,1.1057370048747763
2009-06-11,1.1076414460574202,1.1055409696714185,1.0882334461622543,1.1423461530499306,1.1255613751582902,1.1147614167546922
2009-06-12,1.1113414398006605,1.103538428589806,1.08689926228745,1.1424065858883468,1.1234788435584764,1.112846028186609
2009-06-15,1.082295084758052,1.0736347612926855,1.0636177641624065,1.1116059470009692,1.0915472511306388,1.0828793062729372
2009-06-16,1.0644366210358334,1.0508428628944653,1.0460558921277816,1.0891908291931398,1.0672403892667541,1.0599213998288763
2009-06-17,1.070819175965832,1.0498492816349223,1.0443011209651862,1.0953115319709448,1.0665629811976673,1.0592697911456588
2009-06-18,1.0671691012273061,1.0471369076657884,1.0423234003551447,1.095162962313375,1.0635051669584974,1.0564287622780377
2009-06-19,1.078063721904216,1.053824087308556,1.0478095276910517,1.0973533131950532,1.070332301832866,1.0625730650324885
2009-06-22,1.0575499142273936,1.0306848081653703,1.027497743869346,1.0743912323970495,1.0460406992118951,1.039695109931561
2009-06-23,1.0515312572099371,1.016466157637556,1.0132950302935295,1.0563073985443119,1.0273903888432354,1.0220062824970972
2009-06-24,1.061728641695216,1.0345894933010225,1.0292643609516026,1.0725843458961486,1.0464930687059608,1.040072082294267
2009-06-25,1.0828504992408865,1.0489369905699786,1.040774989872147,1.0857772033544022,1.061450598958344,1.054168464547838
2009-06-26,1.0826532347282374,1.0550529988574135,1.0436856487841295,1.091563964715985,1.0680068019900275,1.060260862677994
2009-06-29,1.0857922068240666,1.0540641281087892,1.0444429060569929,1.0852461919844978,1.0661545922158417,1.058502973062209
2009-06-30,1.0879119632701424,1.0515309510072135,1.041547266975325,1.0841967976711329,1.0640586285097913,1.0565857657881474
2009-07-01,1.0935357294976014,1.059408865598096,1.0497486483898026,1.0934883511133981,1.0724242553944519,1.0644709796064882
2009-07-02,1.0712362882770092,1.0370009835557996,1.030690472806157,1.0741135577210568,1.0493276874624122,1.0428845547492989
2009-07-06,1.062449494297918,1.0244324320623686,1.016669545334638,1.054517296092613,1.0312116632358161,1.0257199643271022
2009-07-07,1.0419996765636168,1.0110891874485057,1.0042364442451452,1.0353393290011355,1.013962153710653,1.0094362263824392
2009-07-08,1.0327797799787568,1.002358122372882,0.9914154906024722,1.0223996118367134,0.9983622398390435,0.9947117000981733
2009-07-09,1.0355536763535276,1.0093505674263359,0.9965510911714056,1.0306630190352504,1.0043562684503147,1.000369711939146
2009-07-10,1.0323690378157746,1.006304973519086,0.9945589504245175,1.0265979321504335,0.9997412940236922,0.99593419377137
2009-07-13,1.040332412340597,1.0120158840634943,0.9980580233936269,1.0281879111121228,1.00124955588439,0.9973942914915288
2009-07-14,1.0515167357773363,1.039792518071601,1.0198513052227351,1.0604673937731652,1.0299935201791228,1.024778991584683
2009-07-15,1.0796709367199138,1.0637541514268736,1.0412378881149096,1.0842379562564397,1.0547949682987374,1.0479794091920533
2009-07-16,1.0912935979826215,1.0814080499144885,1.0541471655689076,1.1029689669176803,1.07307616240384,1.0633774705924883
2009-07-17,1.0936545649020428,1.0842116364081393,1.0570435640161167,1.1064192106191792,1.0758948322722681,1.0660241023841754
2009-07-21,1.1064256274084603,1.1059262419741203,1.0732393727238003,1.1277590313541492,1.0987172325560008,1.0837619315827203
2009-07-22,1.1145430254971742,1.1142762507072301,1.0780783620365386,1.1375001081921017,1.107446214698363,1.090883315616885
2009-07-23,1.1330767739867904,1.1400609009904838,1.0975243153687113,1.1741058256335497,1.139165704674155,1.1177235544877056
2009-07-24,1.1394962518685694,1.1454437642229953,1.1030074575352236,1.181421990278572,1.1461628007987101,1.1233776659807593
2009-07-27,1.1487523338297034,1.152535646666715,1.1078483110558301,1.1854192501795018,1.1536107449094315,1.1293716473477253
