date,RL Agent,QQQ
2023-05-08,1.002981120574726,1.0024777210691889
2023-05-09,0.9963734804627496,0.9961286989288859
2023-05-10,1.0025145013922456,1.0069684764249034
2023-05-11,1.0004929174883026,1.0102514496363877
2023-05-12,0.9986671389046078,1.0066277189268455
2023-05-15,1.0086390441491542,1.0120784939267928
2023-05-16,0.9986775611014352,1.0132244074979333
2023-05-17,1.010554382321326,1.0254886992824206
2023-05-18,1.0272682413194127,1.0445352853572654
2023-05-19,1.0243321709854467,1.0421817817803205
2023-05-22,1.0300665934260234,1.0456812949976189
2023-05-23,1.0166336799479714,1.0324257610747152
2023-05-24,1.0098406895077965,1.027129945715131
2023-05-25,1.0151753806848185,1.0521231199975565
2023-05-26,1.040208203251034,1.0790053992819022
2023-05-30,1.0400703119408268,1.0838988767779774
2023-05-31,1.0360493478400845,1.0777354603569436
2023-06-01,1.0432628741273229,1.090185646068339
2023-06-02,1.0554866728497718,1.0983619046374726
2023-06-07,1.0451453221921407,1.0797275433179618
2023-06-08,1.053948937340782,1.093130568289257
2023-06-09,1.0529863108513158,1.0973091657699021
2023-06-12,1.0688889945653994,1.115850485866987
2023-06-13,1.0787853554855154,1.1244246809961644
2023-06-14,1.080972450615221,1.1325965616547906
2023-06-15,1.0929072515254419,1.146092531830738
2023-06-16,1.0876003373740386,1.1388801567817095
2023-06-20,1.0793968272643293,1.137249871007131
2023-06-21,1.0680994227813296,1.1217515461846757
2023-06-22,1.0714064365337042,1.1349870201413859
2023-06-23,1.0581822389138749,1.1237355614364641
2023-06-26,1.0567848429450377,1.1086713329675555
2023-06-27,1.073921035843564,1.1277339335564354
2023-06-28,1.0753793515501542,1.1299346609227903
2023-06-29,1.0756025850539879,1.1276720981103652
2023-06-30,1.088353085404447,1.1450608208555426
2023-07-05,1.0913064379788209,1.1477265622984791
2023-07-06,1.0775024463477032,1.1389854882791308
2023-07-07,1.0772597351467756,1.1352042123448196
2023-07-10,1.0957592915163428,1.1355758971456558
2023-07-11,1.1044073937871006,1.1411862156454855
2023-07-12,1.1109614358107383,1.1555994436107342
2023-07-13,1.1234633526420041,1.1752200994986217
2023-07-14,1.1207171835544645,1.1749721816077
2023-07-17,1.1328499997421957,1.1859447086808914
2023-07-18,1.1368277727635436,1.1956466325586652
2023-07-19,1.137274395785451,1.1953674128736147
2023-07-20,1.1199101436633854,1.167812040227402
2023-07-21,1.1248588776860104,1.1643095038892743
2023-07-24,1.1246970448153426,1.1661692721422816
2023-07-25,1.1313333183327412,1.174073359230892
2023-07-26,1.1293607903318712,1.170167644262253
2023-07-27,1.125542369774099,1.1673781359094026
2023-07-28,1.1417795290197725,1.188641463864637
2023-07-31,1.1452391645935893,1.1892615466452616
2023-08-01,1.1407724824718413,1.1865028599976728
2023-08-02,1.117263893156073,1.1604660084377993
2023-08-03,1.1164429927179038,1.1586061441670188
2023-08-04,1.1098753816894695,1.1531820041298135
2023-08-08,1.0988777987287572,1.143377013864779
2023-08-09,1.0930699570546694,1.1308063157777308
2023-08-10,1.095278805968042,1.1328961161421405
2023-08-11,1.0890596166915731,1.12567345607363
2023-08-14,1.097384807710901,1.1383057560940586
2023-08-15,1.0836737652822712,1.1262265405110465
2023-08-16,1.0730100658530266,1.1143010917323772
2023-08-17,1.0611557219966699,1.1021295208551158
2023-08-18,1.0616978149941942,1.1007464765208221
2023-08-21,1.0737174237170883,1.118480978096127
2023-08-22,1.0720885524657866,1.1168828506590402
2023-08-23,1.0857078960228366,1.1344945292141577
2023-08-24,1.0618606819247902,1.1102439331771712
2023-08-25,1.0713540640470895,1.1188499232149058
2023-08-28,1.0794097430530971,1.1272714882990726
2023-08-29,1.098596110229556,1.151891124666482
2023-08-30,1.104057982229233,1.158314768622271
2023-08-31,1.1047071528014085,1.1617880893791919
2023-09-01,1.107108864109161,1.1605585262143103
2023-09-05,1.1029318049465822,1.1620339258428536
2023-09-06,1.1005105497663425,1.1517988645838764
2023-09-07,1.0924416574232854,1.1435617244532774
2023-09-08,1.0920380053826415,1.1451597566787204
2023-09-11,1.1006815487558355,1.1586528651685382
2023-09-12,1.0918866564485379,1.1458052916220298
2023-09-13,1.0922211255824572,1.1501697933626343
2023-09-14,1.1017565169831955,1.1595751803596648
2023-09-15,1.0849969366028334,1.1397197442125078
2023-09-18,1.0842311599665002,1.1409077951007989
2023-09-19,1.0806612076119815,1.1384761849360234
2023-09-20,1.0710248404236884,1.1220700762116114
2023-09-21,1.0514242089773818,1.1015087409391306
2023-09-22,1.05262984579596,1.101662602955117
2023-09-25,1.0551796954755197,1.1068953396733083
2023-09-26,1.0429435115499686,1.090273862211173
2023-09-27,1.0481325739218292,1.0928286762427097
2023-09-28,1.0557268005639815,1.1019705174103775
2023-09-29,1.0571075603905482,1.1027707712744652
2023-10-02,1.0554445653769862,1.1119742143755136
2023-10-03,1.0375708892814568,1.0924593502773563
2023-10-04,1.0490002512288032,1.1073263627836865
2023-10-06,1.0662924688773368,1.1258798893933706
2023-10-09,1.0715654376774504,1.1316218836856744
2023-10-10,1.0824485628385005,1.1378887075244692
2023-10-11,1.0842323599216463,1.1460081911215376
2023-10-12,1.073704061966841,1.142025750909227
2023-10-13,1.064799224694505,1.1276702877134506
2023-10-16,1.0784574523476418,1.1404201315506575
2023-10-17,1.0785001183336875,1.1366850182170607
2023-10-18,1.0623163950314036,1.12177397672771
2023-10-19,1.0495092302515878,1.1112776722769007
2023-10-20,1.0348809297841592,1.0946997049208202
2023-10-23,1.0330666225813752,1.0980030943862062
2023-10-24,1.042013445649149,1.1086845597705393
2023-10-25,1.0172318633399182,1.0815485039904729
2023-10-26,1.006005375525443,1.0609262169559017
2023-10-27,1.002439648272851,1.0660202912203778
2023-10-30,1.0055745966905618,1.0780292048444797
2023-10-31,1.0131710039586141,1.083184872096126
2023-11-01,1.0220684982680521,1.1019854391055137
2023-11-02,1.0431392330813105,1.121990172887327
2023-11-03,1.0609555127335062,1.1351720270717545
2023-11-07,1.0720897748422182,1.145902441447178
2023-11-08,1.0650788349553977,1.1466401711068352
2023-11-09,1.0575608980006799,1.1378160418027243
2023-11-10,1.0749598987771267,1.1633968201289686
2023-11-13,1.075228103684837,1.1597686586250022
2023-11-14,1.1042034487218666,1.1847344878756572
2023-11-15,1.1112343730212475,1.1856260974617456
2023-11-16,1.1035663198468317,1.1866407729469701
2023-11-17,1.1085507016126563,1.1869174334574695
2023-11-20,1.1221341554094135,1.2013679758936324
2023-11-21,1.1158983388206059,1.1943885036062436
