fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,val_ir2,val_sharpe,test_ir2,test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-03-29,2023-03-28,2023-04-05,2023-05-04,2023-05-05,2023-06-02,502,20,True,0.0,-1.653,171.5848,70.51,1.96,4.9334,11.5494,18,0.0161,1.11
2,2021-04-29,2023-04-28,2023-05-08,2023-06-05,2023-06-06,2023-07-05,502,19,False,280.4302,4.567,56.2763,50.18,3.31,3.5214,7.1906,17,0.0132,1.13
3,2021-06-01,2023-05-26,2023-06-05,2023-06-30,2023-07-05,2023-08-04,500,23,False,24.4345,3.4173,18.1393,28.34,3.09,1.4203,1.9403,21,0.0175,1.13
4,2021-06-29,2023-06-28,2023-07-06,2023-08-04,2023-08-07,2023-09-05,501,21,False,58.7819,2.5681,0.0,-2.95,3.43,-0.4389,-0.7415,19,0.014,1.12
5,2021-07-29,2023-07-28,2023-08-07,2023-09-01,2023-09-05,2023-10-04,500,22,True,0.0,-0.1293,0.0,-50.33,5.83,-4.515,-6.0223,20,0.0134,1.02
6,2021-08-30,2023-08-28,2023-09-05,2023-10-04,2023-10-05,2023-11-03,499,22,True,0.0,-4.4062,0.0,-6.22,7.54,0.8198,1.5759,20,0.0151,1.03
7,2021-09-29,2023-09-28,2023-10-06,2023-11-03,2023-11-06,2023-12-05,500,20,False,0.0,-0.2467,756.4186,122.7,1.36,5.3932,24.8556,18,0.0139,1.07
8,2021-10-29,2023-10-27,2023-11-06,2023-12-04,2023-12-05,2024-01-04,499,21,False,1159.3609,5.9293,185.614,86.31,3.2,4.7718,7.7847,19,0.0201,1.08
9,2021-11-29,2023-11-28,2023-12-06,2024-01-05,2024-01-08,2024-02-05,500,20,False,113.5275,4.118,194.6604,49.37,1.34,3.9543,8.5504,18,0.0133,1.07
10,2021-12-29,2023-12-28,2024-01-05,2024-02-02,2024-02-05,2024-03-04,500,20,False,418.5281,6.0493,67.3896,52.75,2.47,2.416,3.808,18,0.0148,1.07
11,2022-01-31,2024-01-26,2024-02-05,2024-03-04,2024-03-05,2024-04-04,497,22,False,67.3909,2.3515,5.8136,13.9,2.81,-0.282,-0.5152,20,0.0151,1.07
12,2022-02-28,2024-02-27,2024-03-06,2024-04-05,2024-04-08,2024-05-03,499,20,True,0.0,-0.2769,0.0,-33.42,5.91,-1.6334,-2.903,18,0.0163,1.31
13,2022-03-28,2024-03-27,2024-04-04,2024-05-03,2024-05-06,2024-06-03,500,20,True,0.0,-0.6154,0.0,-1.06,0.61,-1.1197,-1.7628,19,0.2324,78.85
14,2022-04-28,2024-04-26,2024-05-06,2024-06-04,2024-06-05,2024-07-02,499,19,True,0.1176,-1.1282,35.0986,12.33,0.65,3.7171,9.1458,17,0.0133,0.93
15,2022-05-31,2024-05-24,2024-06-04,2024-07-02,2024-07-05,2024-08-02,497,21,False,214.6744,5.1483,0.0,-36.15,8.49,-4.0276,-5.8196,19,0.0179,0.95
16,2022-06-28,2024-06-27,2024-07-05,2024-08-02,2024-08-05,2024-09-04,500,22,True,0.0,-3.9252,62.2054,65.62,3.59,2.4652,4.4436,21,0.1832,6.66
17,2022-07-28,2024-07-26,2024-08-05,2024-09-03,2024-09-04,2024-10-03,498,22,False,290.9067,2.9292,72.795,41.82,1.85,2.5143,3.8012,21,0.0355,2.3
18,2022-08-29,2024-08-27,2024-09-04,2024-10-03,2024-10-04,2024-11-01,498,21,False,72.1069,2.4418,0.0,-18.85,3.77,-1.0013,-1.4674,20,0.2344,9.19
19,2022-09-28,2024-09-27,2024-10-07,2024-11-04,2024-11-05,2024-12-04,499,20,False,0.0,-0.0607,88.3679,79.33,3.94,3.9744,5.6232,19,0.0278,1.72
20,2022-10-28,2024-10-25,2024-11-04,2024-12-03,2024-12-04,2025-01-03,497,20,False,145.6045,3.86,0.0,-53.66,5.72,-3.2254,-6.0905,18,0.0304,2.01
21,2022-11-28,2024-11-27,2024-12-05,2025-01-03,2025-01-06,2025-02-04,501,20,True,0.0,-2.6473,58.1201,41.55,2.21,3.0026,5.9493,18,0.0154,0.96
22,2022-12-28,2024-12-27,2025-01-06,2025-02-03,2025-02-04,2025-03-03,498,19,False,84.9488,2.7902,0.0,-23.61,5.68,-2.5468,-3.791,17,0.0148,0.99
23,2023-01-30,2025-01-27,2025-02-04,2025-03-03,2025-03-04,2025-04-03,495,23,True,0.0,-2.4788,0.0,-35.11,8.64,-3.7481,-4.5253,21,0.0224,0.76
24,2023-02-28,2025-02-27,2025-03-07,2025-04-04,2025-04-07,2025-05-06,497,21,True,0.0,-4.8808,89.6325,117.99,5.45,2.6301,4.108,20,0.34,21.49
25,2023-03-28,2025-03-27,2025-04-04,2025-05-02,2025-05-05,2025-06-03,497,21,False,45.4451,3.1835,125.8991,78.88,2.82,4.336,9.2032,20,0.0233,0.77
26,2023-04-28,2025-04-25,2025-05-05,2025-06-04,2025-06-05,2025-07-02,495,19,False,196.8574,4.2686,138.3386,58.28,2.05,4.5802,7.8508,17,0.0172,0.77
27,2023-05-30,2025-05-27,2025-06-04,2025-07-02,2025-07-07,2025-08-01,495,20,False,115.3354,4.1811,0.0,-6.94,3.72,-2.6352,-3.1095,18,0.0152,0.79
28,2023-06-28,2025-06-27,2025-07-07,2025-08-04,2025-08-05,2025-09-04,497,22,True,0.0,-0.6748,2.0024,6.26,1.74,1.4257,3.551,20,0.0159,1.0
29,2023-07-28,2025-07-25,2025-08-04,2025-09-03,2025-09-04,2025-10-03,495,22,False,0.0,-0.1775,676.052,73.08,0.99,7.0135,18.58,20,0.0172,1.0
30,2023-08-28,2025-08-27,2025-09-04,2025-10-03,2025-10-06,2025-11-03,497,21,False,676.3315,6.8462,1.6345,9.7,3.53,0.6699,0.847,19,0.0165,1.01
31,2023-09-28,2025-09-26,2025-10-06,2025-11-04,2025-11-05,2025-12-04,496,20,True,1.4258,-0.3929,4.8831,17.6,4.38,1.0846,1.6942,18,0.0155,0.76
32,2023-10-30,2025-10-27,2025-11-04,2025-12-03,2025-12-04,2026-01-02,495,19,False,6.0335,2.0523,0.0,-5.58,2.35,-0.7352,-1.3712,15,0.0116,0.8
33,2023-11-28,2025-11-26,2025-12-05,2026-01-02,2026-01-05,2026-02-04,498,22,False,0.0,-2.1499,0.0,-16.56,4.32,-0.9008,-1.2813,20,0.0205,0.81
