,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,39.8964,13.7532,15.5456,15.2266,0.3293,0.8847,0.7991,0.9153,1.3059,0.9032,650.0,4.6177
QQQ,85.7581,27.9592,19.5031,18.2037,0.3769,1.4336,2.2019,1.3284,1.8846,1.5359,650.0,
