date,RL Agent,QQQ
2009-04-03,1.0062125042249714,1.0185767235811667
2009-04-06,1.0011030759809245,1.0160578528621544
2009-04-07,0.9749546171237687,0.9892947647585637
2009-04-08,1.0029149587449449,1.0059823699861052
2009-04-09,1.0362551877329742,1.0371535165336012
2009-04-13,1.027049214917726,1.035578858135065
2009-04-14,1.0218607939751392,1.0229853369952115
2009-04-15,1.016727981661961,1.0201511738659013
2009-04-16,1.0493472910909627,1.0465997326431358
2009-04-17,1.057547902240786,1.0488035190656524
2009-04-20,1.0172573149946949,1.0151134324278765
2009-04-21,1.031840964572868,1.0292820281938704
2009-04-22,1.0434137167982565,1.0324307900208043
2009-04-23,1.0326552493031447,1.0425058566692498
2009-04-24,1.0518286897975,1.0607682590378624
2009-04-27,1.0372599803110494,1.0620276250261012
2009-04-28,1.0304948951733668,1.0541559285725683
2009-04-29,1.0434465511252706,1.0686396780063254
2009-04-30,1.0793083692032956,1.0793449826190291
2009-05-01,1.0879319573100126,1.0821787988920022
2009-05-04,1.1263143274400338,1.1035895468599446
2009-05-05,1.1187925351886938,1.1026451264256665
2009-05-06,1.118087361064809,1.1029598638658251
2009-05-07,1.064811814819643,1.0771408493401753
2009-05-08,1.0567015424275823,1.0777707404480972
2009-05-11,1.0516539225212778,1.0815491158978832
2009-05-12,1.0310832067701536,1.0683245243385626
2009-05-13,0.9870878468047203,1.0396726647376833
2009-05-14,1.006105018014931,1.0513222510421303
2009-05-15,1.0078362820062794,1.0506921518204064
2009-05-18,1.05331791265924,1.0780856166307904
2009-05-19,1.0694560339147736,1.0831237742964197
2009-05-20,1.0674047273710197,1.0793449826190293
2009-05-21,1.0439565264621342,1.0595090317921583
2009-05-22,1.0448114669837327,1.0560454631537983
2009-05-26,1.0866160756439283,1.0954029742237184
2009-05-27,1.0755913434982272,1.087846362066681
2009-05-28,1.0902357779613123,1.1004405075479409
2009-05-29,1.111743896901028,1.1139798365474198
2009-06-01,1.1615128465500937,1.1457807354603027
2009-06-02,1.1453995552115017,1.1473553244875716
2009-06-03,1.1244148060086585,1.143891617106677
2009-06-04,1.143957936007058,1.1568013324833042
2009-06-05,1.1430202310365036,1.1580606291002755
2009-06-08,1.1350997955861941,1.1545969910906482
2009-06-09,1.1618540079791484,1.1634131773497265
2009-06-10,1.1570633575501976,1.1593197176034449
2009-06-11,1.1636564871496522,1.1593197176034449
2009-06-12,1.1523017963681461,1.153967169353994
2009-06-15,1.1244999039641934,1.13035277370607
2009-06-16,1.1041833392905716,1.1193323154256032
2009-06-17,1.1038671426006503,1.1300374119245047
2009-06-18,1.0976805110502028,1.1278334173881857
2009-06-19,1.1176579661632047,1.1399393972608063
2009-06-22,1.063099150566355,1.1058928116799016
2009-06-23,1.061345798802376,1.103370541768787
2009-06-24,1.0814049081826957,1.1219702272394605
2009-06-25,1.1045130695911893,1.1440378517383398
