,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,1234.8489,17.6112,21.6251,32.3409,2.2579,0.8144,0.4435,0.8622,1.1084,0.5445,4009.0,13.7823
QQQ,1535.0802,19.136,20.4143,36.4276,1.9643,0.9374,0.4924,0.9631,1.2389,0.5253,4009.0,
