,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,12.5839,5.1603,15.2948,19.5973,0.8095,0.3374,0.0888,0.4051,0.5086,0.2633,1189.0,13.1407
QQQ,62.7382,22.9057,20.2651,21.7972,0.3294,1.1303,1.1878,1.1195,1.0554,1.0509,1189.0,
