Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,73.5745,11.9094,14.3033,22.7683,0.6825,0.8326,0.4355,0.8586,0.814,0.5231,1234,0.0,0.0
Equal-Weight Monthly,40.2521,7.1307,12.5865,21.2045,0.7023,0.5665,0.1905,0.6116,0.8204,0.3363,1234,0.1769,0.1091
Inverse Volatility,40.8331,7.22,12.6327,20.9505,0.6825,0.5715,0.197,0.6164,0.8281,0.3446,1234,0.8759,0.5404
Momentum Top-20%,-6.451,-1.3221,14.4212,39.0483,3.6821,0.0,0.0,-0.0222,-0.0296,-0.0339,1234,32.5023,20.0539
Supervised + MVO,18.4155,3.5025,14.4962,21.2078,0.6071,0.2416,0.0399,0.3103,0.4179,0.1652,1234,47.2653,29.1627
