date,qqq_return
2010-04-06,0.002880106858648368
2010-04-07,-0.002461599125596292
2010-04-08,0.0022622745299445413
2010-04-09,0.005949693847385973
2010-04-12,0.0008160558291292475
2010-04-13,0.00509464873337917
2010-04-14,0.011962689807549332
2010-04-15,0.0044078960315319105
2010-04-16,-0.011969175088196615
2010-04-19,-0.0006053544745284745
2010-04-20,0.005050304176012599
2010-04-21,0.0056282211690494854
2010-04-22,0.0055966339389306174
2010-04-23,0.004174310563302308
2010-04-26,-0.002177727036571042
2010-04-27,-0.021225575835543964
2010-04-28,0.0006083074265763599
2010-04-29,0.01741934435282788
2010-04-30,-0.019709554616075375
2010-05-03,0.014012985355743801
2010-05-04,-0.03004218198347286
2010-05-05,-0.005161975613209857
2010-05-06,-0.03341641804655304
2010-05-07,-0.02490885105391749
2010-05-10,0.051971413207346995
2010-05-11,-0.001046860428400409
2010-05-12,0.018859743225145387
2010-05-13,-0.01583656398300648
2010-05-14,-0.019227276484354183
2010-05-17,0.0031963287720790934
2010-05-18,-0.013805851367509114
2010-05-19,-0.00796911552204893
2010-05-20,-0.03712591609591909
2010-05-21,0.011048685917038448
2010-05-24,-0.004013980480445545
2010-05-25,0.0008952196371012633
2010-05-26,-0.01118553375955722
2010-05-27,0.03778260942458145
2010-05-28,-0.005886345862824549
2010-06-01,-0.009210274913960648
2010-06-02,0.023683305903318574
2010-06-03,0.009513239979499266
2010-06-04,-0.03426879923968151
2010-06-07,-0.018185752197501515
2010-06-08,-0.001807203676688074
2010-06-09,-0.00837268053282303
2010-06-10,0.02852575664410395
2010-06-11,0.009540495885135725
2010-06-14,-0.00021923959997205422
2010-06-15,0.026818931032820847
2010-06-16,0.00406740692740537
2010-06-17,0.0031988408444154626
2010-06-18,0.000830360670092567
2010-06-21,-0.008511072579330259
2010-06-22,-0.007725268682641562
2010-06-23,-0.004108644641327763
2010-06-24,-0.015201122055464644
2010-06-25,0.0001988000582888727
2010-06-28,-0.0035344642100764156
2010-06-29,-0.03857208617144081
2010-06-30,-0.015217980911128914
2010-07-01,-0.0028098396647707746
2010-07-02,-0.0028171417676930988
2010-07-06,0.003060516945357916
2010-07-07,0.0319252058248618
2010-07-08,0.005459684944343568
2010-07-09,0.009502172341568249
2010-07-12,0.0029132429209959287
2010-07-13,0.012960924063803558
2010-07-14,0.0050736334004533035
2010-07-15,0.0008783753143748463
2010-07-16,-0.02763151303049116
2010-07-19,0.008570317385450332
2010-07-20,0.012074739634916565
2010-07-21,-0.013698398784551813
2010-07-22,0.025313407564912405
2010-07-23,0.006335803804707885
2010-07-26,0.0082504725183552
2010-07-27,-0.0004311473891082107
2010-07-28,-0.007970351665596787
2010-07-29,-0.0073832336476648
2010-07-30,0.002187871417833387
2010-08-02,0.01877284426511361
2010-08-03,-0.004285547559423453
2010-08-04,0.01011414744619299
2010-08-05,-0.0023433538704421553
2010-08-06,-0.00149421063333266
2010-08-09,0.006843207514740213
2010-08-10,-0.008708907885138117
2010-08-11,-0.02721186992787572
2010-08-12,-0.007929769462123204
2010-08-13,-0.007104540286037797
2010-08-16,0.0017883800421867324
2010-08-17,0.012723384863599474
2010-08-18,0.00396808549045069
2010-08-19,-0.015149004510975783
2010-08-20,0.0013375379234403795
2010-08-23,-0.009795023385614665
2010-08-24,-0.018659938309205537
2010-08-25,0.009621902413866179
2010-08-26,-0.012026263736928167
2010-08-27,0.012172655299943935
2010-08-30,-0.010437979043760426
2010-08-31,-0.0034395389429306977
2010-09-01,0.029912523269204794
2010-09-02,0.011170561009638202
2010-09-03,0.016570833591891487
2010-09-07,-0.006737077861067364
2010-09-08,0.012034582723108977
2010-09-09,0.003892206661979314
2010-09-10,0.00366083752406432
2010-09-13,0.013948624774363871
2010-09-14,0.004233126656569386
2010-09-15,0.006322371928749737
2010-09-16,0.003978957209149758
2010-09-17,0.0033869047337033997
2010-09-20,0.017504002885400993
2010-09-21,-0.000205078833535155
2010-09-22,-0.002662733486808011
2010-09-23,-0.00041080008642013777
2010-09-24,0.020341170453788582
2010-09-27,-0.005436861443220864
2010-09-28,-0.0004053307075948531
2010-09-29,-0.0016202149441616465
2010-09-30,-0.004463263874430301
2010-10-01,-0.0012228563847089813
2010-10-04,-0.010814056432831176
2010-10-05,0.02433994467299616
2010-10-06,-0.00865889376305351
2010-10-07,0.00365673482817086
2010-10-08,0.006880775210370782
2010-10-11,0.00040204734068027825
2010-10-12,0.006831532639953508
2010-10-13,0.008181713826551196
2010-10-14,-0.0019792529506146295
2010-10-15,0.021221804035274072
2010-10-18,-0.0036902095996398376
2010-10-19,-0.00935631969298667
2010-10-20,0.007280070711034092
2010-10-21,0.0019534327577572785
2010-10-22,0.006824152333567923
2010-10-25,0.00484123581890028
2010-10-26,0.002698013461934101
2010-10-27,0.0030752668161224683
2010-10-28,0.002107795310731353
2010-10-29,-0.0022945841431810665
2010-11-01,0.0007665647809456111
2010-11-02,0.010723769981738851
2010-11-03,0.00454751638184181
2010-11-04,0.012259178850272168
2010-11-05,0.0
2010-11-08,0.001304712636006622
2010-11-09,-0.0053966079506877485
2010-11-10,0.005051510157766836
2010-11-11,-0.006329456368592279
2010-11-12,-0.01629812045678003
2010-11-15,-0.003808155850238748
2010-11-16,-0.016440966244778088
2010-11-17,0.002915552643456776
2010-11-18,0.016085155573331678
2010-11-19,0.0007624108906818527
2010-11-22,0.008386525648790943
2010-11-23,-0.015876165186769597
2010-11-24,0.0201647691652469
2010-11-26,-0.006588729512046365
2010-11-29,-0.0007579942212746493
2010-11-30,-0.01213743796492217
2010-12-01,0.021117586550063905
2010-12-02,0.01015191413647143
2010-12-03,0.0026061875014598
2010-12-06,-0.0003717838392457429
2010-12-07,0.000557640401811943
2010-12-08,0.0037115677315617823
2010-12-09,0.0009246420366202379
2010-12-10,0.006650870095461503
2010-12-13,-0.003487200960821779
2010-12-14,0.0018416311195532664
2010-12-15,-0.0044118538814116315
2010-12-16,0.007754958034173587
2010-12-17,0.0008812012632706256
2010-12-20,0.0007336479742119373
2010-12-21,0.0060482183518739685
2010-12-22,-0.0001819181878413012
2010-12-23,-0.002551042645863366
2010-12-27,0.0005482033192358848
2010-12-28,-0.0018262637838287743
2010-12-29,0.0021954625092834856
