,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,1206.9163,17.4563,21.4262,32.2687,2.2619,0.8147,0.4407,0.8619,1.1099,0.541,4009.0,14.2482
QQQ,1535.0802,19.136,20.4143,36.4276,1.9643,0.9374,0.4924,0.9631,1.2389,0.5253,4009.0,
