,RL Agent,QQQ
2009-03-31,0.9834210169672748,0.9846346451505653
2009-04-01,0.9992918335582692,1.0140637386992684
2009-04-02,1.01989768455673,1.058729418694848
2009-04-03,1.0225020155256128,1.0623791610513287
2009-04-06,1.0389633130129432,1.075503103840215
2009-04-07,1.0362706991290327,1.0724579564051369
2009-04-08,1.0086989616697128,1.0435801599905898
2009-04-09,1.0515698777779436,1.0825610588699253
2009-04-10,1.04862526917713,1.088395239790242
2009-04-13,1.0560565481560389,1.0835773332514396
2009-04-14,1.0424101162808765,1.0736514948398963
2009-04-15,1.0191510154025727,1.0615438264325243
2009-04-16,1.0288103327135614,1.0630372316168872
2009-04-17,1.0424775547873741,1.0815315045058265
2009-04-20,1.0688472308474615,1.0836162246290078
2009-04-21,1.059444828549256,1.057703421468941
2009-04-22,1.055603483008122,1.0596424174975148
2009-04-23,1.0648372819250074,1.074177239864705
2009-04-24,1.0406217166067315,1.057297907715029
2009-04-27,1.0517503406340778,1.0595258619360834
2009-04-28,0.9995302225042001,1.031287876111042
2009-04-30,1.0262059417407678,1.0719006714216903
2009-05-01,1.052487550288566,1.0900052005360366
2009-05-07,1.1080458328144385,1.1395834069463315
2009-05-08,1.1177660748982834,1.14530577515614
2009-05-11,1.1189060261449615,1.1476309578211148
2009-05-12,1.0950688149973016,1.1290092208136213
2009-05-13,1.0938066545728167,1.1340941498593857
2009-05-14,1.065606461769553,1.1041333234365838
2009-05-15,1.0957124863106005,1.1249307247337061
2009-05-18,1.0624397563188925,1.0974505279148785
2009-05-19,1.0739914932541912,1.1279989935670336
2009-05-20,1.100456177857452,1.134597959198676
2009-05-21,1.0945519820513314,1.1248251963006708
2009-05-22,1.0926853094209903,1.1201699695485252
2009-05-25,1.1121819095000136,1.1348845459656949
2009-05-26,1.1100354271274033,1.1304904131568576
2009-05-27,1.1148601123487352,1.1460269256389741
2009-05-28,1.1446446269894306,1.147559222200905
2009-05-29,1.1735383880484658,1.1561932265923107
2009-06-01,1.205492183949477,1.175043213300471
2009-06-02,1.2105292753330035,1.1782679962142557
2009-06-03,1.224347710791014,1.1828041774082352
2009-06-04,1.247619083138185,1.1739759532715348
2009-06-05,1.2564318917421504,1.1860022817855784
2009-06-08,1.265536816298757,1.197855021955842
2009-06-09,1.231231258476325,1.1882862016475235
2009-06-10,1.272778075151119,1.2131366062008502
