,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,285.7269,9.1107,24.1494,53.0704,0.6905,0.3773,0.0648,0.4813,0.6322,0.1717,3917.0,20.789
QQQ,331.1241,9.9825,21.098,32.3525,0.6865,0.4731,0.146,0.5515,0.7457,0.3086,3917.0,
