ticker,first_date,last_date,row_count
AAL,2005-09-27,2026-03-13,5147
AAPL,2001-03-15,2026-03-13,6286
ABNB,2020-12-10,2026-03-13,1319
ADBE,2001-03-15,2026-03-13,6286
ADI,2001-03-15,2026-03-13,6286
ADP,2001-03-15,2026-03-13,6286
ADSK,2001-03-15,2026-03-13,6286
AEO,2001-03-15,2026-03-13,6286
AEP,2001-03-15,2026-03-13,6286
AKAM,2001-03-15,2026-03-13,6286
ALGN,2001-03-15,2026-03-13,6286
ALNY,2004-06-01,2026-03-13,5481
AMAT,2001-03-15,2026-03-13,6286
AMD,2001-03-15,2026-03-13,6286
AMGN,2001-03-15,2026-03-13,6286
AMLN,2001-03-15,2012-08-08,2869
AMZN,2001-03-15,2026-03-13,6286
APP,2021-04-15,2026-03-13,1234
ARM,2023-09-14,2026-03-13,626
ASML,2001-03-15,2026-03-13,6286
AVGO,2009-08-06,2026-03-13,4176
AXON,2001-06-19,2026-03-13,6220
BB,2001-03-15,2026-03-13,6286
BIDU,2005-08-05,2026-03-13,5183
BIIB,2001-03-15,2026-03-13,6286
BKNG,2001-03-15,2026-03-13,6286
BKR,2001-03-15,2026-03-13,6286
BMC,2012-06-18,2022-03-02,2439
BMRN,2001-03-15,2026-03-13,6286
CCEP,2001-03-15,2026-03-13,6286
CDNS,2001-03-15,2026-03-13,6286
CDW,2013-06-27,2026-03-13,3197
CEG,2022-01-19,2026-03-13,1041
CHKP,2001-03-15,2026-03-13,6286
CHRW,2001-03-15,2026-03-13,6286
CHTR,2010-01-05,2026-03-13,4072
CIEN,2001-03-15,2026-03-13,6286
CMCSA,2001-03-15,2026-03-13,6286
CMVT,2001-03-15,2013-02-04,2990
COST,2001-03-15,2026-03-13,6286
CPRT,2001-03-15,2026-03-13,6286
CRWD,2019-06-12,2026-03-13,1698
CSCO,2001-03-15,2026-03-13,6286
CSGP,2001-03-15,2026-03-13,6286
CSX,2001-03-15,2026-03-13,6286
CTAS,2001-03-15,2026-03-13,6286
CTSH,2001-03-15,2026-03-13,6286
DASH,2020-12-09,2026-03-13,1320
DDOG,2019-09-19,2026-03-13,1629
DLTR,2001-03-15,2026-03-13,6286
DOCU,2018-04-27,2026-03-13,1980
DXCM,2005-04-14,2026-03-13,5262
EA,2001-03-15,2026-03-13,6286
EBAY,2001-03-15,2026-03-13,6286
ENPH,2012-03-30,2026-03-13,3508
EQIX,2001-03-15,2026-03-13,6286
ERIC,2001-03-15,2026-03-13,6286
EXC,2001-03-15,2026-03-13,6286
EXPD,2001-03-15,2026-03-13,6286
EXPE,2005-07-21,2026-03-13,5194
FANG,2012-10-12,2026-03-13,3372
FAST,2001-03-15,2026-03-13,6286
FER,2012-08-13,2026-03-13,3415
FFIV,2001-03-15,2026-03-13,6286
FISV,2001-03-15,2026-03-13,6285
FLEX,2001-03-15,2026-03-13,6286
FMCN,2005-07-13,2013-05-24,1981
FOSL,2001-03-15,2026-03-13,6286
FOX,2019-03-13,2026-03-13,1761
FOXA,2019-03-12,2026-03-13,1762
FSLR,2006-11-17,2026-03-13,4858
FTNT,2009-11-18,2026-03-13,4103
GEHC,2022-12-15,2026-03-13,812
GEN,2001-03-15,2026-03-13,6286
GFS,2021-10-28,2026-03-13,1097
GILD,2001-03-15,2026-03-13,6286
GNTX,2001-03-15,2026-03-13,6286
GOOG,2004-08-19,2026-03-13,5426
GOOGL,2004-08-19,2026-03-13,5426
GRAL,2024-06-12,2026-03-13,439
GRMN,2001-03-15,2026-03-13,6286
HAS,2001-03-15,2026-03-13,6286
HOLX,2001-03-15,2026-03-13,6286
HON,2001-03-15,2026-03-13,6286
HSIC,2001-03-15,2026-03-13,6286
IDXX,2001-03-15,2026-03-13,6286
ILMN,2001-03-15,2026-03-13,6286
INCY,2001-03-15,2026-03-13,6286
INFY,2001-03-15,2026-03-13,6286
INSM,2001-03-15,2026-03-13,6286
INTC,2001-03-15,2026-03-13,6286
INTU,2001-03-15,2026-03-13,6286
ISRG,2001-03-15,2026-03-13,6286
JBHT,2001-03-15,2026-03-13,6286
JD,2014-05-22,2026-03-13,2970
KDP,2008-05-07,2026-03-13,4491
KHC,2015-07-06,2026-03-13,2689
KLAC,2001-03-15,2026-03-13,6286
LAMR,2001-03-15,2026-03-13,6286
LCID,2020-09-18,2026-03-13,1377
LIN,2001-03-15,2026-03-13,6286
LOGI,2001-03-15,2026-03-13,6286
LRCX,2001-03-15,2026-03-13,6286
LULU,2007-07-27,2026-03-13,4687
MAR,2001-03-15,2026-03-13,6286
MAT,2001-03-15,2026-03-13,6286
MCHP,2001-03-15,2026-03-13,6286
MDB,2017-10-19,2026-03-13,2110
MELI,2007-08-10,2026-03-13,4677
META,2012-05-18,2026-03-13,3474
MNST,2001-03-15,2026-03-13,6286
MOLX,2001-03-15,2013-12-09,3204
MPWR,2004-11-19,2026-03-13,5361
MRNA,2018-12-07,2026-03-13,1825
MRVL,2001-03-15,2026-03-13,6286
MSFT,2001-03-15,2026-03-13,6286
MSTR,2001-03-15,2026-03-13,6286
MTCH,2001-03-15,2026-03-13,6286
MU,2001-03-15,2026-03-13,6286
NCLH,2013-01-18,2026-03-13,3307
NFLX,2002-05-23,2026-03-13,5990
NTAP,2001-03-15,2026-03-13,6286
NTES,2001-03-15,2026-03-13,6286
NVDA,2001-03-15,2026-03-13,6286
NXPI,2010-08-06,2026-03-13,3924
ODFL,2001-03-15,2026-03-13,6286
OKTA,2017-04-07,2026-03-13,2245
ON,2001-03-15,2026-03-13,6286
ORCL,2001-03-15,2026-03-13,6286
ORLY,2001-03-15,2026-03-13,6286
PALM,2014-12-22,2020-01-08,239
PANW,2012-07-20,2026-03-13,3431
PAYX,2001-03-15,2026-03-13,6286
PCAR,2001-03-15,2026-03-13,6286
PDD,2018-07-26,2026-03-13,1918
PEP,2001-03-15,2026-03-13,6286
PLTR,2020-09-30,2026-03-13,1369
PRDO,2001-03-15,2026-03-13,6286
PRGO,2001-03-15,2026-03-13,6286
PTC,2001-03-15,2026-03-13,6286
PTEN,2001-03-15,2026-03-13,6286
PTON,2019-09-26,2026-03-13,1624
PYPL,2015-07-06,2026-03-13,2689
QCOM,2001-03-15,2026-03-13,6286
QGEN,2001-03-15,2026-03-13,6286
QVCGA,2006-05-10,2026-03-13,4992
REGN,2001-03-15,2026-03-13,6286
RIVN,2021-11-10,2026-03-13,1088
ROP,2001-03-15,2026-03-13,6286
ROST,2001-03-15,2026-03-13,6286
RYAAY,2001-03-15,2026-03-13,6286
SANM,2001-03-15,2026-03-13,6286
SBAC,2001-03-15,2026-03-13,6286
SBUX,2001-03-15,2026-03-13,6286
SHOP,2015-05-20,2026-03-13,2720
SMCI,2007-03-29,2026-03-13,4770
SNPS,2001-03-15,2026-03-13,6286
SOLS,2025-10-20,2026-03-13,100
STLD,2001-03-15,2026-03-13,6286
STX,2002-12-11,2026-03-13,5850
SWKS,2001-03-15,2026-03-13,6286
TCOM,2003-12-09,2026-03-13,5600
TEAM,2015-12-09,2026-03-13,2579
TEVA,2001-03-15,2026-03-13,6286
TIGO,2019-01-09,2026-03-13,1804
TLAB,2001-03-15,2013-12-03,3200
TMUS,2007-04-19,2026-03-13,4756
TRI,2002-06-12,2026-03-13,5977
TRIP,2011-12-07,2026-03-13,3586
TSCO,2001-03-15,2026-03-13,6286
TSLA,2010-06-29,2026-03-13,3951
TTD,2016-09-21,2026-03-13,2382
TTWO,2001-03-15,2026-03-13,6286
TXN,2001-03-15,2026-03-13,6286
UAL,2006-02-06,2026-03-13,5057
ULTA,2007-10-25,2026-03-13,4624
URBN,2001-03-15,2026-03-13,6286
VEON,2001-03-15,2026-03-13,6286
VIAV,2001-03-15,2026-03-13,6286
VMED,2004-07-19,2013-06-07,2239
VOD,2001-03-15,2026-03-13,6286
VRSK,2009-10-07,2026-03-13,4133
VRSN,2001-03-15,2026-03-13,6286
VRTX,2001-03-15,2026-03-13,6286
WBD,2005-07-08,2026-03-13,5203
WDAY,2012-10-12,2026-03-13,3372
WDC,2001-03-15,2026-03-13,6286
WMT,2001-03-15,2026-03-13,6286
WTW,2001-06-12,2026-03-13,6225
WYNN,2002-10-25,2026-03-13,5882
XEL,2001-03-15,2026-03-13,6286
XRAY,2001-03-15,2026-03-13,6286
ZM,2019-04-18,2026-03-13,1735
ZS,2018-03-16,2026-03-13,2009
