,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,265.4099,8.3572,15.9676,29.9354,1.0595,0.5234,0.1461,0.5807,0.7767,0.2792,4086.0,11.4158
QQQ,217.2578,7.4107,23.9499,40.8451,2.1746,0.3094,0.0561,0.4177,0.5324,0.1814,4086.0,
