,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,1407.8674,18.5127,22.6305,33.9501,2.2619,0.818,0.4461,0.8676,1.1217,0.5453,4009.0,14.7823
QQQ,1535.0802,19.136,20.4143,36.4276,1.9643,0.9374,0.4924,0.9631,1.2389,0.5253,4009.0,
