,RL Agent,QQQ
2009-04-03,1.0064483130292894,1.0185767235811667
2009-04-06,1.001156213451308,1.0160578528621544
2009-04-07,0.9740490945357618,0.9892947647585637
2009-04-08,1.0028595056743432,1.0059823699861052
2009-04-09,1.0373357849062987,1.0371535165336012
2009-04-13,1.0277780591625023,1.035578858135065
2009-04-14,1.0223939521161107,1.0229853369952115
2009-04-15,1.0169794626536437,1.0201511738659013
2009-04-16,1.0506234042548017,1.0465997326431358
2009-04-17,1.059171357720942,1.0488035190656524
2009-04-20,1.017609263603918,1.0151134324278765
2009-04-21,1.0327305258971056,1.0292820281938704
2009-04-22,1.0446859106051125,1.0324307900208043
2009-04-23,1.0335442893870834,1.0425058566692498
2009-04-24,1.05338312612721,1.0607682590378624
2009-04-27,1.0382161737359252,1.0620276250261012
2009-04-28,1.0312277260818565,1.0541559285725683
2009-04-29,1.0445327907709832,1.0686396780063254
2009-04-30,1.0814066642761175,1.0793449826190291
2009-05-01,1.090365941325696,1.0821787988920022
2009-05-04,1.1299743163386915,1.1035895468599446
2009-05-05,1.1221604814830288,1.1026451264256665
2009-05-06,1.1213512147768607,1.1029598638658251
2009-05-07,1.0663108718732552,1.0771408493401753
2009-05-08,1.0580295284370926,1.0777707404480972
2009-05-11,1.0527503548338757,1.0815491158978832
2009-05-12,1.0314687961039135,1.0683245243385626
2009-05-13,0.9858886494155361,1.0396726647376833
2009-05-14,1.0056085408420234,1.0513222510421303
2009-05-15,1.0073894802324168,1.0506921518204064
2009-05-18,1.0542749927896746,1.0780856166307904
2009-05-19,1.0709672505588066,1.0831237742964197
2009-05-20,1.0687862214007982,1.0793449826190293
2009-05-21,1.0446485526731135,1.0595090317921583
2009-05-22,1.0455352276989907,1.0560454631537983
2009-05-26,1.0886631575680221,1.0954029742237184
2009-05-27,1.0771852204528112,1.087846362066681
2009-05-28,1.092303032780202,1.1004405075479409
2009-05-29,1.1144639765718218,1.1139798365474198
2009-06-01,1.1658909733569534,1.1457807354603027
2009-06-02,1.1490469977804414,1.1473553244875716
2009-06-03,1.1272589915235842,1.143891617106677
2009-06-04,1.1474708162877951,1.1568013324833042
2009-06-05,1.1465320523964653,1.1580606291002755
2009-06-08,1.1383319877262865,1.1545969910906482
2009-06-09,1.1661809273557884,1.1634131773497265
2009-06-10,1.161143619271212,1.1593197176034449
2009-06-11,1.1679831113007568,1.1593197176034449
2009-06-12,1.1561657777749539,1.153967169353994
2009-06-15,1.1274135308506081,1.13035277370607
2009-06-16,1.106352686209522,1.1193323154256032
2009-06-17,1.1060439363264534,1.1300374119245047
2009-06-18,1.0996332840617695,1.1278334173881857
2009-06-19,1.120303983984363,1.1399393972608063
2009-06-22,1.063752991616871,1.1058928116799016
2009-06-23,1.0618978400617671,1.103370541768787
2009-06-24,1.0826162939239024,1.1219702272394605
2009-06-25,1.1065020554593188,1.1440378517383398
2009-06-26,1.1174031629123367,1.146559844164385
2009-06-29,1.1176414988232066,1.1490816284766279
2009-06-30,1.1135164991076087,1.1468747897183458
2009-07-01,1.117227796460785,1.1475053745389412
2009-07-02,1.077968967719404,1.1222859358773627
2009-07-06,1.068166391848261,1.116295171967903
2009-07-07,1.0376537406126494,1.0885538796228145
2009-07-08,1.0434419339470034,1.0942285880380347
2009-07-09,1.058314745975197,1.096119787529682
2009-07-10,1.064755824194962,1.100848271857672
2009-07-13,1.0928639603051944,1.1219702272394603
2009-07-14,1.1112479759739264,1.1260686123457266
2009-07-15,1.1433318110116875,1.1638975275386583
2009-07-16,1.165879339719481,1.1777688674238764
2009-07-17,1.1734368396009505,1.1840740219171575
2009-07-20,1.2016414391998758,1.195422883777459
2009-07-21,1.20372792226247,1.2036195152474571
2009-07-22,1.2281374103764593,1.2137080399217763
2009-07-23,1.275051854624336,1.2405035244072393
2009-07-24,1.2757370157774623,1.2310462782661895
2009-07-27,1.2844454621440462,1.2405035244072393
2009-07-28,1.288460478278701,1.2319925023534197
2009-07-29,1.2692978130951085,1.240188301368209
