fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-31,2008-03-28,2008-04-02,2009-04-01,2009-04-02,2010-04-01,1258,252,True,hier_k30,0.0,-0.7317,13.8457,50.85,52.39,9.45,2.2058,3.0429,250,0.7079,17.9
2,2004-03-31,2009-03-30,2009-04-02,2010-04-01,2010-04-05,2011-04-01,1258,253,False,hier_k30,13.711,2.1987,2.4578,24.44,19.2,12.76,1.2663,1.7852,248,0.6821,15.05
3,2005-03-31,2010-03-30,2010-04-05,2011-04-01,2011-04-04,2012-03-30,1259,251,False,hier_k30,2.259,1.2339,0.3472,10.61,19.4,16.24,0.5907,0.7807,248,0.7571,13.81
4,2006-03-31,2011-03-30,2011-04-04,2012-03-30,2012-04-02,2013-04-01,1259,249,True,hier_k30,0.6537,0.7247,0.3547,7.01,2.41,10.51,0.5186,0.826,242,0.5727,16.17
5,2007-04-02,2012-03-30,2012-04-02,2013-04-01,2013-04-02,2014-04-01,1261,253,False,hier_k30,0.3519,0.5168,8.7589,27.99,28.87,6.87,2.104,3.0531,248,0.6297,15.42
6,2008-03-31,2013-03-28,2013-04-02,2014-04-01,2014-04-02,2015-04-01,1259,252,False,hier_k30,8.4875,2.0863,2.0711,15.51,19.38,8.32,1.0541,1.3939,245,0.64,14.11
7,2009-03-31,2014-03-28,2014-04-02,2015-04-01,2015-04-02,2016-04-01,1258,252,False,hier_k30,2.238,1.0772,0.0018,0.69,5.0,15.87,0.1661,0.2102,246,0.6342,15.59
8,2010-03-31,2015-03-30,2015-04-02,2016-04-01,2016-04-04,2017-03-31,1258,252,True,hier_k30,0.0185,0.2639,15.1952,30.24,21.73,5.01,2.2417,2.7495,248,0.6531,15.62
9,2011-03-31,2016-03-30,2016-04-04,2017-03-31,2017-04-03,2018-03-29,1257,250,False,hier_k30,15.1484,2.2319,2.0531,17.63,20.06,10.31,1.3139,1.5053,248,0.5929,15.54
10,2012-04-02,2017-03-30,2017-04-03,2018-03-29,2018-04-02,2019-04-01,1257,252,False,hier_k30,2.0239,1.3065,0.0737,4.94,16.53,20.37,0.4649,0.6153,250,0.7761,16.04
11,2013-04-01,2018-03-29,2018-04-02,2019-04-01,2019-04-02,2020-04-01,1260,253,True,hier_k30,0.0787,0.4604,0.0,-5.69,5.07,26.93,-0.2003,-0.2166,251,0.6901,20.2
12,2014-03-31,2019-03-29,2019-04-02,2020-04-01,2020-04-02,2021-04-01,1259,252,True,hier_k20,0.0046,0.0959,14.7463,76.48,72.39,14.83,2.3541,3.3578,247,0.6313,16.37
13,2015-03-31,2020-03-30,2020-04-02,2021-04-01,2021-04-05,2022-04-01,1259,253,False,hier_k20,14.7465,2.3493,0.0,-0.15,10.0,20.81,0.0721,0.0999,239,0.6929,16.31
14,2016-03-31,2021-03-30,2021-04-05,2022-04-01,2022-04-04,2023-03-31,1259,250,True,hier_k20,0.0196,0.202,0.0,-3.87,-13.97,14.9,-0.0508,-0.0754,248,0.8457,20.63
15,2017-03-31,2022-03-30,2022-04-04,2023-03-31,2023-04-03,2024-04-01,1259,250,True,hier_k20,0.0,0.0998,2.2973,22.5,39.99,12.63,1.2952,1.9421,248,0.875,19.6
16,2018-04-02,2023-03-30,2023-04-03,2024-04-01,2024-04-02,2025-04-01,1259,251,False,hier_k20,2.2666,1.2848,0.0,-7.01,6.98,18.85,-0.1809,-0.2114,249,0.8051,19.67
