Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,1581.8667,19.274,20.4105,35.1187,1.9603,0.9443,0.5183,0.9689,1.2462,0.5488,4023,0.0,0.0
Equal-Weight Monthly,1338.2323,18.131,20.4705,32.5498,2.0714,0.8857,0.4934,0.9187,1.199,0.557,4023,0.3263,0.2625
Inverse Volatility,1433.6116,18.6182,18.8943,31.6937,1.5357,0.9854,0.5789,1.0002,1.2866,0.5874,4023,4.455,3.5845
Momentum Top-20%,540.5232,12.271,21.6492,39.5457,2.2421,0.5668,0.1759,0.6461,0.868,0.3103,4023,36.1592,29.0937
Supervised + MVO,1189.6993,17.3431,21.8089,33.8392,1.9722,0.7952,0.4076,0.8438,1.1414,0.5125,4023,45.483,36.5956
