,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,919.8621,15.6419,18.6702,28.7693,2.2619,0.8378,0.4555,0.8759,1.1052,0.5437,4009.0,13.9509
QQQ,1535.0802,19.136,20.4143,36.4276,1.9643,0.9374,0.4924,0.9631,1.2389,0.5253,4009.0,
