,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,-24.9076,-11.4104,21.8359,43.6496,1.7044,0.0,0.0,-0.4465,-0.5703,-0.2614,1189.0,32.0554
QQQ,62.7382,22.9057,20.2651,21.7972,0.3294,1.1303,1.1878,1.1195,1.0554,1.0509,1189.0,
