Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,73.5745,25.2372,20.228,22.7683,0.3413,1.2476,1.3829,1.2142,1.1512,1.1084,1234,0.0,0.0
Equal-Weight Monthly,40.3439,14.8005,17.8,21.2011,0.3512,0.8315,0.5805,0.8664,1.1622,0.6981,1234,0.1769,0.0436
Inverse Volatility,41.2906,15.1135,17.8651,20.9328,0.3413,0.846,0.6108,0.8792,1.1811,0.722,1234,0.8759,0.2162
Momentum Top-20%,5.515,2.2719,20.3863,35.296,1.8413,0.1114,0.0072,0.2096,0.2782,0.0644,1234,32.5023,8.0216
Supervised + MVO,41.0516,15.0449,20.505,20.5013,0.244,0.7337,0.5384,0.7873,1.0572,0.7339,1234,47.2653,11.6651
