,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,284.6872,8.7093,18.7798,33.1614,1.0476,0.4638,0.1218,0.5367,0.7199,0.2626,4086.0,8.4182
QQQ,217.2578,7.4107,23.9499,40.8451,2.1746,0.3094,0.0561,0.4177,0.5324,0.1814,4086.0,
