date,RMS.PA,LIN.DE,BNP.PA,VOW3.DE,ELE.MC,AI.PA,WKL.AS,REP.MC,SAN.PA,ADYEN.AS,AIR.PA,BAS.DE,CA.PA,ALO.PA,GLE.PA,ARGX.BR,SGO.PA,TIT.MI,DBK.DE,EL.PA,AD.AS,INGA.AS,RNO.PA,OR.PA,DTE.DE,TEF.MC,SAP.DE,CS.PA,IFX.DE,AGS.BR,DB1.DE,ADS.DE,AGN.AS,ITX.MC,FRE.DE,ENR.DE,RACE.MI,ENEL.MI,SAF.PA,ISP.MI,PHIA.AS,ALV.DE,MBG.DE,BN.PA,G.MI,SAN.MC,BBVA.MC,RWE.DE,ABI.BR,PRX.AS,ASML.AS,ACA.PA,BMW.DE,MUV2.DE,ORA.PA,MC.PA,RHM.DE,MT.AS,DHL.DE,ENGI.PA,KNEBV.HE,UCG.MI,TTE.PA,BAYN.DE,RI.PA,ENI.MI,NOKIA.HE,EOAN.DE,UMG.AS,AMS.MC,VOW.DE,DG.PA,VNA.DE,KER.PA,SU.PA,STLAM.MI,VIV.PA,IBE.MC,SIE.DE
2003-01-02,33.7988166809082,,12.898969650268556,10.420293807983398,1.212839961051941,14.432049751281738,8.466878890991211,3.549233913421631,25.187292098999023,,7.784984111785889,6.997696876525879,21.827579498291016,,20.98587989807129,,14.81583309173584,1.2920374870300293,20.95086097717285,12.916577339172363,,5.2071123123168945,24.85774040222168,51.04269027709961,4.581833362579346,2.3061931133270264,13.282601356506348,2.5651466846466064,5.5735650062561035,41.39653015136719,20.693622589111328,15.819734573364258,5.074314117431641,0.7501763105392456,2.403461456298828,,,1.021755337715149,8.986066818237305,0.3926588296890259,9.071334838867188,37.92640686035156,8.130533218383789,16.111419677734375,7.765621185302734,1.7826921939849854,2.9670608043670654,10.425582885742188,-2.261586904525757,,9.603973388671877,-36.74605178833008,13.626680374145508,48.17053985595703,4.439711570739746,26.347410202026367,9.134329795837402,,9.617541313171388,4.860180377960205,,51.97754669189453,9.641688346862791,11.155877113342283,20.853412628173828,3.767631292343139,7.888108730316162,4.009281158447266,,,18.344736099243164,5.4598307609558105,,33.22024917602539,11.835307121276855,0.9233396649360656,0.5514292120933533,1.1937366724014282,17.941255569458008
2003-01-03,34.32147216796875,,12.835431098937988,10.484477996826172,1.2203526496887207,14.070426940917969,8.572776794433594,3.4329090118408203,24.69843292236328,,8.11731243133545,6.894495964050293,21.13149070739746,,21.113506317138672,,14.840816497802734,1.2937767505645752,20.66975975036621,12.849997520446776,,5.176300525665283,24.37662124633789,50.46305084228515,4.613528728485107,2.2960007190704346,14.152215957641602,2.5651466846466064,5.661222457885742,40.66363525390625,20.449527740478516,15.586421012878418,5.139420032501221,0.741803765296936,2.427360773086548,,,1.021353244781494,8.576103210449219,0.4009292423725128,8.95164680480957,37.5142822265625,7.852717876434326,16.099063873291016,7.7540106773376465,1.7308696508407593,2.9485156536102295,10.377886772155762,-2.274890422821045,,9.693313598632812,-36.02893829345703,13.577375411987305,48.94158172607422,4.647061824798584,26.270557403564453,9.189281463623049,,9.898808479309082,4.774134635925293,,51.71099853515625,9.524693489074709,11.181758880615234,21.167848587036133,3.720015048980713,7.922427177429199,4.023582458496094,,,17.98410987854004,5.530605792999268,,32.86111068725586,12.131701469421388,0.9385473728179932,0.5601714253425598,1.1964197158813477,17.516008377075195
2003-01-06,36.58635330200195,,13.026056289672852,10.6090669631958,1.2203526496887207,14.333426475524902,8.47696304321289,3.4329090118408203,24.889724731445312,,7.954684257507324,7.106328010559082,21.146406173706055,,21.22291374206543,,14.950748443603516,1.302471160888672,20.357913970947266,12.616966247558594,,5.086946964263916,24.697364807128903,50.01980209350586,4.884705066680908,2.2960007190704346,14.431678771972656,2.5651466846466064,5.916890621185303,41.08919143676758,20.612258911132812,15.620565414428713,5.09346342086792,0.741803765296936,2.526365280151367,,,1.0392194986343384,8.881160736083984,0.4135142564773559,9.00650405883789,38.07276916503906,8.023486137390137,16.197906494140625,7.815918445587158,1.7308696508407593,2.9485156536102295,10.648163795471191,-2.2564706802368164,,9.994832992553713,-35.559104919433594,13.658056259155272,49.02504348754883,4.803182601928711,26.06562042236328,9.335822105407717,,9.935101509094238,4.868506908416748,,51.71099853515625,9.731148719787598,11.606252670288086,21.044321060180664,3.718580722808838,7.922427177429199,4.08555793762207,,,18.268817901611328,5.560937881469727,,32.322383880615234,12.22624397277832,1.0058969259262085,0.5783284306526184,1.1964197158813477,18.240957260131836
2003-01-07,34.81925582885742,,12.962512969970703,10.458047866821287,1.2278659343719482,14.114258766174316,8.39627742767334,3.470782995223999,24.27333068847656,,7.742560386657715,6.941572189331055,20.788419723510746,,20.98587989807129,,14.36610984802246,1.2694315910339355,20.1339111328125,12.683545112609863,,4.94521427154541,24.349884033203125,49.50835418701172,4.803704738616943,2.4285099506378174,14.6716890335083,2.3819220066070557,5.785404205322266,40.7109375,20.091524124145508,15.554177284240724,4.978574752807617,0.7428086400032043,2.558457374572754,,,1.0241641998291016,9.20416259765625,0.4029067456722259,9.101256370544434,36.87492752075195,7.985254764556885,16.13612937927246,7.8236565589904785,1.7697378396987915,2.997967481613159,10.493154525756836,-2.250330686569214,,10.095338821411133,-35.410736083984375,13.47427749633789,48.13079071044922,4.732440948486328,25.405977249145508,9.372456550598145,,9.626612663269045,4.740825653076172,,51.31116485595703,9.490283012390137,11.414710998535156,21.235219955444336,3.634833335876465,7.770450592041016,4.019768714904785,,,17.675674438476562,5.545773506164551,,31.312314987182617,12.300341606140137,0.9830850958824158,0.5682411193847656,1.1964197158813477,18.06275749206543
2003-01-08,33.72415542602539,,12.867201805114746,9.967235565185549,1.2396719455718994,13.752636909484863,8.522348403930664,3.5005393028259277,23.72068977355957,,7.615284442901611,6.767759323120117,20.28622817993164,,20.274810791015625,,13.78147315979004,1.295515537261963,19.41358757019043,12.550387382507324,,4.929811477661133,23.681669235229492,47.973995208740234,4.641702651977539,2.443801164627075,14.120984077453612,2.3819220066070557,5.515125751495361,39.22150802612305,19.451465606689453,15.191876411437988,4.90580940246582,0.7166862487792969,2.4922266006469727,,,1.0289816856384275,9.13100242614746,0.3876247406005859,8.62749195098877,35.24186706542969,7.506088733673096,16.061994552612305,7.76948881149292,1.7904655933380127,3.013421058654785,10.40173625946045,-2.1848363876342773,,9.57046890258789,-35.36128234863281,12.734671592712402,46.00048065185547,4.683651924133301,24.496562957763672,9.207598686218262,,9.445150375366213,4.760256767272949,,51.044620513916016,9.18747329711914,11.016100883483888,20.527755737304688,3.543668508529663,7.368441581726074,3.952073097229004,,,16.831037521362305,5.474996089935303,,28.91058349609375,12.364217758178713,0.9754809141159058,0.571603536605835,1.2169855833053589,16.920673370361328
2003-01-09,32.85305404663086,,12.898969650268556,10.042744636535645,1.2546985149383545,14.015634536743164,8.47696304321289,3.4761929512023926,24.188302993774418,,7.565788745880127,6.680853366851807,20.862993240356445,,20.420671463012695,,13.856427192687988,1.2798653841018677,19.677122116088867,12.450518608093262,,5.0530548095703125,24.232280731201172,48.48544692993164,4.779051780700684,2.4896695613861084,14.877175331115724,2.5651466846466064,5.756184101104736,39.36334991455078,19.505701065063477,14.89406967163086,5.334733009338379,0.7364453077316284,2.6117162704467773,,,1.0498582124710083,9.139286041259766,0.3971535563468933,8.787076950073242,35.57310104370117,7.574903011322021,16.049638748168945,7.815918445587158,1.7878752946853638,3.028873920440674,10.596492767333984,-2.1899538040161133,,9.492298126220703,-35.855838775634766,12.860180854797363,46.38202667236328,4.9275922775268555,24.11870765686035,9.177068710327148,,9.644760131835938,5.25709867477417,,51.4444465637207,9.276937484741213,10.969511032104492,20.595136642456055,3.577885150909424,7.726325035095215,4.0903239250183105,,,16.897472381591797,5.439609050750732,,29.67375373840332,12.417875289916992,0.9667909145355223,0.5914414525032043,1.2455995082855225,17.23656463623047
2003-01-10,33.3508186340332,,12.898969650268556,10.314579010009766,1.247185468673706,13.906050682067873,8.436620712280273,3.511360883712769,24.060775756835938,,7.622356414794922,6.631969928741455,19.88846015930176,,20.56652450561523,,13.941375732421877,1.27290940284729,19.589279174804688,12.38393497467041,,5.160894870758057,24.349884033203125,48.89460372924805,4.705095291137695,2.520249366760254,15.426229476928713,2.5651466846466064,5.734270095825195,38.34675979614258,19.261608123779297,14.615235328674316,5.265799522399902,0.7381197214126587,2.642441987991333,,,1.0627055168151855,9.139286041259766,0.3930182754993438,8.941673278808594,35.827301025390625,7.5851006507873535,15.802532196044922,7.76948881149292,1.7982388734817505,3.0600671768188477,10.441482543945312,-2.1827895641326904,,9.860822677612305,-37.56207656860352,13.088784217834473,46.85897445678711,5.269108772277832,24.573415756225582,8.975577354431152,,9.544955253601074,5.2182393074035645,,51.17789840698242,9.24941349029541,10.897037506103516,20.69620132446289,3.5477371215820312,7.745935916900635,4.072209358215332,,,17.253358840942383,5.50027322769165,,30.683828353881836,12.26968002319336,0.9830850958824158,0.5914414525032043,1.2303979396820068,17.127222061157227
2003-01-13,34.097476959228516,,13.057827949523926,10.39008903503418,1.2761647701263428,13.851261138916016,8.572776794433594,3.5005393028259277,23.89073944091797,,7.579929828643799,6.662748336791992,19.91331672668457,,20.767091751098633,,13.866419792175291,1.307688593864441,19.923080444335938,12.284066200256348,,5.222518444061279,24.344547271728516,48.96280670166016,4.856531143188477,2.553377389907837,15.074438095092772,2.5651466846466064,5.931499004364014,39.19785690307617,19.32670211791992,14.634206771850586,5.3232421875,0.7351058721542358,2.673850774765014,,,1.077961802482605,9.36428165435791,0.394276887178421,9.08130931854248,35.90047836303711,7.656465530395508,15.7531156539917,7.7540106773376465,1.8267412185668943,3.1973178386688232,10.46533203125,-2.1899538040161133,,9.894325256347656,-37.95773696899414,13.272565841674805,46.93050765991211,5.85456657409668,24.368467330932617,8.609227180480957,,9.535881996154783,5.251547336578369,,50.91133117675781,9.036066055297852,10.746912956237791,20.68497085571289,3.473323345184326,7.61356782913208,4.055999279022217,,,17.38622283935547,5.510383605957031,,30.908294677734375,12.47408962249756,1.0102421045303345,0.5820269584655762,1.2527529001235962,17.455263137817383
2003-01-14,33.823707580566406,,13.121366500854492,10.439168930053713,1.286897897720337,13.873181343078612,8.63833236694336,3.616863965988159,23.763202667236328,,7.516292095184326,6.758707523345947,19.858627319335938,,21.00411796569824,,13.981345176696776,1.3007326126098633,20.29203414916992,12.150904655456545,,5.274895668029785,24.627870559692383,48.51955032348633,5.022054672241211,2.5839548110961914,15.161566734313965,2.5651466846466064,6.25291109085083,38.89051818847656,19.630468368530273,14.778362274169922,5.36536979675293,0.7535251379013062,2.72710919380188,,,1.0936193466186523,9.952309608459473,0.3957152068614959,9.02645206451416,36.45510482788086,7.646269798278809,15.716046333312988,7.897172927856445,1.8396977186203003,3.1630067825317383,10.791254997253418,-2.1930229663848877,,9.894325256347656,-37.33952713012695,13.142574310302734,46.94242858886719,5.720399379730225,24.874408721923828,8.54817008972168,,9.58124828338623,5.28208065032959,,50.24496841430664,9.008540153503418,10.85044765472412,20.99760627746582,3.4649484157562256,7.745935916900635,4.054093360900879,,,17.5665340423584,5.651936054229736,,29.987998962402344,12.58395767211914,1.0211046934127808,0.5850529670715332,1.274213433265686,17.726606369018555
2003-01-15,33.62459945678711,,12.867201805114746,10.288150787353516,1.2933377027511597,13.467721939086914,8.497132301330566,3.719661712646485,23.18931770324707,,7.106184959411621,6.642830848693848,19.008398056030273,,20.912952423095703,,13.43169116973877,1.2972545623779297,19.85837173461914,11.684842109680176,,5.287220478057861,24.21624755859375,46.95109176635742,4.895270347595215,2.5329906940460205,14.918272018432615,2.3819220066070557,6.062986373901367,39.434268951416016,18.50221061706543,14.65696620941162,5.2275004386901855,0.7421387434005737,2.8472824096679688,,,1.098236083984375,9.815656661987305,0.3924790918827057,8.911750793457031,35.969810485839844,7.406685829162598,15.518353462219238,7.658052921295166,1.8319244384765625,3.1973178386688232,10.842925071716309,-2.1244592666625977,,9.380623817443848,-37.71044921875,12.716741561889648,45.984580993652344,5.76674747467041,24.48375129699707,8.54817008972168,,9.826223373413086,5.456945419311523,,49.04547882080078,9.022305488586426,10.68479061126709,20.554237365722656,3.496771812438965,7.564544677734375,4.015000820159912,,,17.229633331298828,5.727766513824463,,29.53908348083496,12.502195358276367,1.0048103332519531,0.5867341756820679,1.274213433265686,17.520065307617188
