date,close,high,low,open,volume
2003-01-02,12.661670684814453,12.690766566134577,12.457997665690794,12.457997665690794,37200
2003-01-03,12.647114753723145,12.647114753723145,12.603470495250697,12.647114753723145,56100
2003-01-06,12.957476615905762,12.957476615905762,12.845941669544189,12.845941669544189,70000
2003-01-07,12.957476615905762,12.957476615905762,12.957476615905762,12.957476615905762,0
2003-01-08,12.482245445251465,12.482245445251465,12.365860982293446,12.419204208002263,40000
2003-01-09,12.569535255432129,12.569535255432129,12.569535255432129,12.569535255432129,1000
2003-01-10,12.676215171813965,12.676215171813965,12.676215171813965,12.676215171813965,1000
2003-01-13,12.841099739074707,12.841099739074707,12.768359554192978,12.768359554192978,9000
2003-01-14,12.913833618164062,12.913833618164062,12.865340801882917,12.865340801882917,6000
2003-01-15,12.802302360534668,12.870193987842324,12.802302360534668,12.870193987842324,15600
2003-01-16,12.685916900634766,12.724711716770535,12.647122084498996,12.724711716770535,21000
2003-01-17,12.31251049041748,12.356154753887978,12.268866226946985,12.356154753887978,266500
2003-01-21,12.011849403381348,12.152480180490633,12.00215047394186,12.152480180490633,43200
2003-01-22,11.827579498291016,11.827579498291016,11.783935218412788,11.783935218412788,3900
2003-01-23,11.939114570617676,11.948812579411848,11.832428149410708,11.948812579411848,47400
2003-01-24,11.667551040649414,11.876073510287663,11.667551040649414,11.876073510287663,22000
2003-01-27,11.323248863220215,11.51237349162912,11.235960288587966,11.51237349162912,57100
2003-01-28,11.459033966064453,11.473582374845055,11.28445768540597,11.37659483285787,46000
2003-01-29,11.716044425964355,11.745140303984007,11.366891114904686,11.366891114904686,194200
2003-01-30,11.497824668884277,11.62875752606512,11.497824668884277,11.609360579598377,23200
2003-01-31,11.793633460998535,11.80333239483393,11.735441707868643,11.759688117515891,7100
2003-02-03,11.8809232711792,11.8809232711792,11.856676858969655,11.856676858969655,6000
2003-02-04,11.599658966064453,11.609357899529495,11.526918814959048,11.53176828169157,286100
2003-02-05,11.589960098266602,11.754838268341674,11.546315822367834,11.599659031786597,279000
2003-02-06,11.37658977508545,11.41538551458602,11.308699080842123,11.395987644835735,142300
2003-02-07,11.197161674499512,11.308696626533386,11.114722595835097,11.308696626533386,88600
2003-02-10,11.187466621398926,11.19716555753259,11.119575918346186,11.19716555753259,153200
2003-02-11,11.260209083557129,11.395991442230788,11.260209083557129,11.29415536693178,25300
2003-02-12,11.056533813476562,11.158370793504245,11.056533813476562,11.158370793504245,101500
2003-02-13,11.250507354736328,11.303849646824645,11.134121985773191,11.18746520280285,82300
2003-02-14,11.570564270019531,11.63845496131264,11.289301645452127,11.303849122191338,25400
2003-02-18,11.808181762695312,11.880921915968095,11.764537485743396,11.808181762695312,153700
2003-02-19,11.623905181884766,11.730591598347335,11.623905181884766,11.725742131695291,70300
2003-02-20,11.429930686950684,11.454178019248724,11.39113588021497,11.444479086329508,1600
2003-02-21,11.653003692626953,11.653003692626953,11.415385341438158,11.415385341438158,170700
2003-02-24,11.323248863220215,11.36204368250772,11.308700459134357,11.342645810393241,24100
2003-02-25,11.095329284667969,11.095329284667969,10.828614998595484,10.998342691978664,523800
2003-02-26,10.780115127563477,10.911047924645056,10.775265661937382,10.809211921320045,90800
2003-02-27,10.911051750183105,10.988641377522434,10.77526943986862,10.877106403839813,15700
2003-02-28,11.197161674499512,11.25535342123843,11.158366868359854,11.182613275344213,405800
2003-03-03,11.274747848510742,11.420228095934538,11.260199453792021,11.410530091062913,219400
2003-03-04,11.148672103881836,11.148672103881836,11.061383526196659,11.061383526196659,21900
2003-03-05,11.158371925354004,11.168070862519778,11.041987454189378,11.041987454189378,13400
2003-03-06,10.838314056396484,10.993493346385733,10.804368702329027,10.915903701391109,545700
2003-03-07,10.741326332092285,10.784970622184096,10.649188283571629,10.707380978674546,36900
2003-03-10,10.285483360290527,10.54249955447913,10.285483360290527,10.532800620749471,139400
2003-03-11,10.36792278289795,10.440663863285046,10.295182627452112,10.37762171694173,45100
2003-03-12,9.960577964782715,10.06241399984548,9.81994619262029,10.06241399984548,311300
2003-03-13,10.5279541015625,10.620092147909155,10.207896598402005,10.270938760354476,763100
2003-03-14,10.673433303833008,10.881955772265291,10.586144742634257,10.717077584432383,798800
2003-03-17,11.265054702758789,11.29900004959091,10.610391403332066,10.610391403332066,360600
2003-03-18,11.202017784118652,11.245662082526183,10.949850932195515,11.245662082526183,176800
2003-03-19,11.284454345703125,11.347495581878134,11.168069884728242,11.274755409386515,166900
2003-03-20,11.16321849822998,11.19231437723836,11.022586720630398,11.148670096255131,129700
2003-03-21,11.712933540344238,11.712933540344238,11.445847030085943,11.460415688320479,472400
2003-03-24,10.960232734680176,11.266167977170388,10.935952571536633,11.193325635282056,134400
2003-03-25,11.295304298400879,11.377858149372349,11.071922908501492,11.071922908501492,38700
2003-03-26,11.314726829528809,11.387569161928234,11.217605263377461,11.34872035022195,130500
2003-03-27,11.159333229064941,11.212750700377658,10.97965779575123,10.97965779575123,98000
2003-03-28,11.1107759475708,11.193329829915815,10.999085673289073,11.003941892983393,38500
2003-03-31,10.736855506896973,10.96994847777438,10.736855506896973,10.833977114981327,55000
2003-04-01,10.960232734680176,11.008793987196114,10.8291176307558,10.882535101146216,93200
2003-04-02,11.373003005981445,11.411851826213013,11.275880492288058,11.28073671059562,420300
2003-04-03,11.309879302978516,11.44584977418265,11.285598200099658,11.411857156381616,149800
2003-04-04,11.601241111755371,11.630378425123707,11.533255899687353,11.542968337476797,143700
2003-04-07,11.8197660446167,12.028578820887414,11.77606100185171,11.99944150822474,142500
2003-04-08,11.8197660446167,11.921743860248988,11.79548587696016,11.882895036261113,119900
2003-04-09,11.829476356506348,12.05285682273965,11.829476356506348,11.975159188725558,174100
2003-04-10,11.74206829071045,11.834334594185162,11.693507029606442,11.81005350051865,76900
2003-04-11,11.780916213989258,11.907175112718713,11.727498738234388,11.907175112718713,63800
2003-04-14,12.052854537963867,12.057710754947795,11.84889805578227,11.873179140701914,55000
2003-04-15,12.237393379211426,12.237393379211426,12.06742940217782,12.072285621662113,100200
2003-04-16,12.077140808105469,12.237392332463076,12.077140808105469,12.237392332463076,32000
2003-04-17,12.407352447509766,12.407352447509766,12.266525832584376,12.276238268435469,35400
2003-04-21,12.373359680175781,12.392784551614092,12.339367081387588,12.358791952825898,8400
2003-04-22,12.698719024658203,12.708431460497989,12.261669600385291,12.261669600385291,120900
2003-04-23,12.669587135314941,12.693867307293976,12.54818442296139,12.655018476390007,83900
2003-04-24,12.523894309997559,12.567598399623359,12.431628062502078,12.567598399623359,48000
2003-04-25,12.237393379211426,12.329658770725509,12.213112281789963,12.329658770725509,53100
2003-04-28,12.65015983581543,12.65015983581543,12.35879412291057,12.35879412291057,26500
2003-04-29,12.572463035583496,12.766708092240403,12.504477821491024,12.761851873201072,105200
2003-04-30,12.640448570251465,12.742426386504015,12.601599746027297,12.742426386504015,608800
2003-05-01,12.655013084411621,12.655013084411621,12.470481447799292,12.616164270060143,159400
2003-05-02,12.795845985412598,12.795845985412598,12.528759464206711,12.528759464206711,1677300
2003-05-05,13.05807113647461,13.07263979059332,12.970661064220113,12.975517282259684,77900
2003-05-06,13.354300498962402,13.441710614061396,13.077502418635149,13.087214859474889,497600
2003-05-07,13.077491760253906,13.189181960193476,13.058066894406025,13.189181960193476,55400
2003-05-08,12.78612995147705,12.985230268388829,12.756993568234305,12.88810868217004,275500
2003-05-09,13.09206485748291,13.09206485748291,12.86868436590985,12.86868436590985,71400
2003-05-12,13.174620628356934,13.179476847516183,13.019225320177354,13.019225320177354,26400
2003-05-13,13.062926292419434,13.12605619557212,13.048358565714052,13.053213857129974,113600
2003-05-14,13.067776679992676,13.179466857305476,12.99979151575504,13.179466857305476,98700
2003-05-15,13.184326171875,13.213462545364404,13.135764931906918,13.160046015005266,505000
2003-05-16,13.40285587310791,13.40285587310791,13.262028321652807,13.320302014792935,211600
2003-05-19,12.795845985412598,13.242608001063413,12.795845985412598,13.242608001063413,259800
2003-05-20,12.888103485107422,12.980368815875405,12.815261167030474,12.883247268820389,24900
2003-05-21,12.829833030700684,12.863825626998992,12.718142806798019,12.718142806798019,18600
2003-05-22,12.990087509155273,12.990087509155273,12.926958519455278,12.926958519455278,16600
2003-05-23,13.111492156982422,13.111492156982422,13.014369622364972,13.014369622364972,71800
2003-05-27,13.349444389343262,13.349444389343262,12.970667529513545,12.975523749973721,101900
2003-05-28,13.388290405273438,13.475700502676652,13.281456356352368,13.291168795225872,37600
2003-05-29,13.398003578186035,13.563111343164756,13.388291138780415,13.451421068687738,195700
2003-05-30,13.563106536865234,13.59709913650989,13.480552683630126,13.480552683630126,58100
2003-06-02,13.713644027709961,13.864183063091323,13.5825289358155,13.669938997078473,191200
2003-06-03,13.70878791809082,13.70878791809082,13.58252904263234,13.635946508541751,168300
2003-06-04,13.859326362609863,13.864181653316304,13.694218691730672,13.694218691730672,1100
2003-06-05,13.869039535522461,13.869039535522461,13.74763687625367,13.757349311290083,5000
2003-06-06,13.898181915283203,14.06814495933519,13.898181915283203,14.06814495933519,31000
2003-06-09,13.801056861877441,13.86418584867969,13.801056861877441,13.84961811969476,17700
2003-06-10,13.961307525634766,13.961307525634766,13.86904123394735,13.961307525634766,3100
