,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,15.1947,5.5892,7.3543,7.776,1.0356,0.76,0.5463,0.7825,1.0093,0.7188,650.0,29.8214
QQQ,85.7581,27.9592,19.5031,18.2037,0.3769,1.4336,2.2019,1.3284,1.8846,1.5359,650.0,
