date,QQQ Buy-and-Hold,Equal-Weight Monthly,Inverse Volatility,Momentum Top-20%,Supervised + MVO
2023-05-09,0.9936666700846664,0.9933346577236152,0.9933346577236152,0.9933346577236152,0.9933346577236152
2023-05-10,1.0044796560176168,0.999587613378194,0.9995326046630955,0.9995326046630955,0.9995326046630955
2023-05-11,1.007754515041898,0.9975901712681178,0.9975029250483164,0.9975029250483164,0.9975029250483164
2023-05-12,1.004139740734817,0.9957849247882489,0.9956506844336821,0.9956506844336821,0.9956506844336821
2023-05-15,1.0095770436148588,1.0057793290993706,1.005731093285482,1.005731093285482,1.005731093285482
2023-05-16,1.0107201249492932,0.995947110118094,0.9957066261973233,0.9957066261973233,0.9957066261973233
2023-05-17,1.022954104345271,1.007943827171372,1.0076922807304487,1.0076922807304487,1.0076922807304487
2023-05-18,1.0419536149324298,1.0250987323538396,1.024554437934155,1.024554437934155,1.024554437934155
2023-05-19,1.0396059282681966,1.0221159877101027,1.0215895832834454,1.0215895832834454,1.0215895832834454
2023-05-22,1.0430967920986327,1.027923723271772,1.027407198350082,1.027407198350082,1.027407198350082
2023-05-23,1.0298740205154737,1.014229989973354,1.0138523692520158,1.0138523692520158,1.0138523692520158
2023-05-24,1.024591294277991,1.0074385785998834,1.00700171407019,1.00700171407019,1.00700171407019
2023-05-25,1.0495226955023185,1.0138125776666405,1.0124541880836821,1.0124541880836821,1.0124541880836821
2023-05-26,1.0763385326220447,1.0404988431925248,1.0377750901556595,1.0377750901556595,1.0377750901556595
2023-05-30,1.0812199154131314,1.0404747826630503,1.037648221115693,1.037648221115693,1.037648221115693
2023-05-31,1.075071732474502,1.0355470817279728,1.033570084225675,1.033570084225675,1.033570084225675
2023-06-01,1.08749114634249,1.0431150417614998,1.040860641830431,1.040860641830431,1.040860641830431
2023-06-02,1.095647196494321,1.055410388961604,1.0531692077800086,1.0531692077800086,1.0531692077800086
2023-06-05,1.0964193130529676,1.0558110458267789,1.0535629943911697,1.0535629943911697,1.0535629943911697
2023-06-06,1.0962341660762636,1.0586555747825368,1.0564390561105492,1.0564390561105492,1.0564390561105492
2023-06-07,1.0776359031037326,1.0479620414552044,1.0459373332195023,1.0264827846697075,1.0459373332195023
2023-06-08,1.091012963834145,1.0569780690701258,1.0548636913850598,1.043965759837917,1.0548636913850598
2023-06-09,1.095183466566644,1.0560486147118477,1.0539039470518903,1.0509562250853501,1.0539039470518903
2023-06-12,1.1136888685555173,1.0722315784822676,1.0700425698303127,1.0767865992428047,1.0700425698303127
2023-06-13,1.1222464538172814,1.0822116688682657,1.0800776374118508,1.0899375485251692,1.0800776374118508
2023-06-14,1.1304025039691123,1.0844461830611207,1.0823064809979333,1.096375971588066,1.0823064809979333
2023-06-15,1.1438723298514137,1.0963775808047058,1.0943778003221307,1.100080966455493,1.0943778003221307
2023-06-16,1.1366739265620074,1.0910091949128107,1.0889833553580555,1.090731366355964,1.0889833553580555
2023-06-20,1.1350467989649784,1.082556706493855,1.0806671448364766,1.0779071030612422,1.0806671448364766
2023-06-21,1.1195784973827863,1.0709466221327717,1.069171458871793,1.0489486844650537,1.069171458871793
2023-06-22,1.1327883316772005,1.0743269787905039,1.0725188507985013,1.0562302764052776,1.0725188507985013
2023-06-23,1.121558669214897,1.061002342432118,1.0591191751693358,1.0400972137121958,1.0591191751693358
2023-06-26,1.106523623058005,1.0594329876422592,1.0576902177374703,1.0335716099665646,1.0576902177374703
2023-06-27,1.1255492957179583,1.0767170019689818,1.0750632956593964,1.0609508404948644,1.0750632956593964
2023-06-28,1.1277457598515295,1.0780546233209538,1.0765480237267595,1.0629790820816625,1.0765480237267595
2023-06-29,1.125487580059057,1.0784127624634645,1.0767776703111849,1.0636990609942196,1.0767776703111849
2023-06-30,1.1428426174990913,1.0913075976895155,1.0896935487934527,1.075565702727618,1.0896935487934527
2023-07-05,1.1455031948874133,1.0944286423711405,1.092711182035116,1.087068553732815,1.092711182035116
2023-07-06,1.1367790540120302,1.0803785967333843,1.0786989042647308,1.0728687737066398,1.0786989042647308
2023-07-07,1.133005103137503,1.0800711613574727,1.0784826093695956,1.0752792444385055,1.0784826093695956
2023-07-10,1.133376067913291,1.098895468433948,1.0972313483401932,1.0971712623370422,1.0999370727604034
2023-07-11,1.1389755181456014,1.107636148736735,1.1059914918646676,1.1061498496858089,1.109023688023949
2023-07-12,1.1533608249121963,1.1141039132703017,1.1126288344941726,1.1019243574851445,1.1167904256729904
2023-07-13,1.172943471810558,1.126773199017651,1.1253082934525984,1.1151745015329708,1.129123568850893
