,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,418.1683,11.221,20.9551,39.0906,0.6905,0.5355,0.1537,0.6105,0.8097,0.2871,3917.0,23.4968
QQQ,331.1241,9.9825,21.098,32.3525,0.6865,0.4731,0.146,0.5515,0.7457,0.3086,3917.0,
