,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,-9.7248,-3.8711,8.5357,14.3359,2.3688,0.0,0.0,-0.4219,-0.4935,-0.27,650.0,49.9198
QQQ,85.7581,27.9592,19.5031,18.2037,0.3769,1.4336,2.2019,1.3284,1.8846,1.5359,650.0,
