fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-03-29,2023-03-28,2023-04-05,2023-05-04,2023-05-05,2023-06-02,502,20,True,conservative_lr,3.3327,0.9331,5.0671,9.61,1.99,1.2992,1.8958,16,0.3854,60.75
2,2021-04-29,2023-04-28,2023-05-08,2023-06-05,2023-06-06,2023-07-05,502,19,False,conservative_lr,6.6345,1.2504,0.0,-9.58,2.28,-1.0631,-1.3493,13,0.3855,57.91
3,2021-06-01,2023-05-26,2023-06-05,2023-06-30,2023-07-05,2023-08-04,500,23,False,conservative_lr,0.0,-1.2994,19.021,9.1,0.96,0.312,0.4769,12,0.3788,70.98
4,2021-06-29,2023-06-28,2023-07-06,2023-08-04,2023-08-07,2023-09-05,501,21,False,conservative_lr,47.8119,1.3301,0.0,-26.89,2.62,-5.1825,-8.0749,20,0.4729,40.26
5,2021-07-29,2023-07-28,2023-08-07,2023-09-01,2023-09-05,2023-10-04,500,22,True,standard,24.9665,2.2528,0.0,-13.12,2.45,-1.9904,-2.2448,20,0.4696,62.96
6,2021-08-30,2023-08-28,2023-09-05,2023-10-04,2023-10-05,2023-11-03,499,22,True,standard,0.0,-6.9971,2.4066,3.61,1.26,1.3859,2.7191,21,0.5837,76.85
7,2021-09-29,2023-09-28,2023-10-06,2023-11-03,2023-11-06,2023-12-05,500,20,False,standard,0.87,1.0141,172.3803,18.7,0.39,2.8083,8.7153,19,0.4182,76.84
8,2021-10-29,2023-10-27,2023-11-06,2023-12-04,2023-12-05,2024-01-04,499,21,False,standard,217.7418,3.5043,59.9695,11.19,0.76,3.6743,6.2312,20,0.3782,78.26
9,2021-11-29,2023-11-28,2023-12-06,2024-01-05,2024-01-08,2024-02-05,500,20,False,standard,18.8037,2.0802,9.7467,3.3,0.48,0.9556,1.7331,19,0.5043,77.18
10,2021-12-29,2023-12-28,2024-01-05,2024-02-02,2024-02-05,2024-03-04,500,20,False,standard,19.8793,2.403,0.0,-4.76,1.37,-1.1422,-1.0901,19,0.4879,77.63
11,2022-01-31,2024-01-26,2024-02-05,2024-03-04,2024-03-05,2024-04-04,497,22,False,standard,0.0,-1.2385,0.0,-2.96,1.33,-2.6616,-3.2678,21,0.5047,77.25
12,2022-02-28,2024-02-27,2024-03-06,2024-04-05,2024-04-08,2024-05-03,499,20,True,standard,0.0,-0.2703,0.0,-33.92,5.98,-1.6473,-2.9343,18,0.0278,0.01
13,2022-03-28,2024-03-27,2024-04-04,2024-05-03,2024-05-06,2024-06-03,500,20,True,aggressive_timing,14.5734,0.0524,7.5652,9.2,1.79,1.3053,2.1289,18,0.5889,36.82
14,2022-04-28,2024-04-26,2024-05-06,2024-06-04,2024-06-05,2024-07-02,499,19,False,aggressive_timing,0.0498,0.1659,0.0,-0.17,0.57,2.3416,4.9376,18,0.2462,46.52
15,2022-05-31,2024-05-24,2024-06-04,2024-07-02,2024-07-05,2024-08-02,497,21,False,aggressive_timing,0.0,0.206,0.0,-21.05,2.88,-3.4528,-3.4287,19,0.6065,70.38
16,2022-06-28,2024-06-27,2024-07-05,2024-08-02,2024-08-05,2024-09-04,500,22,True,large_capacity,16.674,1.7256,0.0,-31.76,7.14,-2.3689,-2.8175,16,0.8237,63.76
17,2022-07-28,2024-07-26,2024-08-05,2024-09-03,2024-09-04,2024-10-03,498,22,True,aggressive_timing,686.8842,4.2926,572.8977,49.94,0.57,5.162,24.7511,21,0.5777,48.24
18,2022-08-29,2024-08-27,2024-09-04,2024-10-03,2024-10-04,2024-11-01,498,21,False,aggressive_timing,812.5797,5.3868,0.0,-36.48,4.16,-4.7474,-5.7322,20,1.0859,41.83
19,2022-09-28,2024-09-27,2024-10-07,2024-11-04,2024-11-05,2024-12-04,499,20,True,aggressive_timing,37.1487,1.0287,0.0,-7.07,3.57,0.155,0.1611,17,0.9265,44.27
20,2022-10-28,2024-10-25,2024-11-04,2024-12-03,2024-12-04,2025-01-03,497,20,False,aggressive_timing,0.0775,-0.1309,0.0,-21.66,2.93,-2.0296,-2.5452,19,0.8138,52.34
21,2022-11-28,2024-11-27,2024-12-05,2025-01-03,2025-01-06,2025-02-04,501,20,True,standard,2024.6337,5.5207,3.0126,8.27,2.2,1.0047,1.4231,19,0.6059,25.55
22,2022-12-28,2024-12-27,2025-01-06,2025-02-03,2025-02-04,2025-03-03,498,19,True,standard,90.4318,2.8279,0.0,-24.62,5.76,-2.6535,-3.9309,18,0.041,0.0
23,2023-01-30,2025-01-27,2025-02-04,2025-03-03,2025-03-04,2025-04-03,495,23,True,aggressive_timing,29.074,3.3099,0.0,-5.21,0.91,-4.2604,-5.3503,12,0.1078,89.99
24,2023-02-28,2025-02-27,2025-03-07,2025-04-04,2025-04-07,2025-05-06,497,21,True,conservative_lr,6.9102,-0.0106,349.2632,37.35,0.49,3.9241,16.3485,15,0.3509,82.35
