Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,90.2185,27.6933,19.8377,22.7683,0.3412,1.396,1.698,1.3004,1.7609,1.2163,680,0.0,0.0
Equal-Weight Monthly,49.6457,15.9631,17.3814,21.1514,0.3531,0.9184,0.6931,0.9462,1.3514,0.7547,680,0.3729,0.1268
Inverse Volatility,49.8373,16.0183,17.4235,20.9656,0.3492,0.9194,0.7024,0.947,1.3535,0.764,680,1.3822,0.4699
Momentum Top-20%,26.7919,9.1271,20.8987,31.8243,1.5157,0.4367,0.1253,0.5257,0.7554,0.2868,680,34.0152,11.5652
Supervised + MVO,19.0334,6.6098,21.3848,28.2743,1.9363,0.3091,0.0723,0.4084,0.591,0.2338,680,71.417,24.2818
