,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,283.794,9.0939,21.4725,38.8339,0.6905,0.4235,0.0992,0.511,0.6703,0.2342,3917.0,20.6503
QQQ,331.1241,9.9825,21.098,32.3525,0.6865,0.4731,0.146,0.5515,0.7457,0.3086,3917.0,
