date,qqq_return
2024-04-01,-0.014029214741928975
2024-04-02,0.0008999379857346224
2024-04-03,-0.009715591923371902
2024-04-04,0.00814382721660123
2024-04-05,-0.019637938762850693
2024-04-08,0.009103411630487335
2024-04-09,0.010829019257921457
2024-04-10,-0.0048102907103678705
2024-04-11,-0.0035162538662262266
2024-04-12,0.0020516349250538912
2024-04-15,-0.0073563734596926444
2024-04-16,-0.019412367899667826
2024-04-17,-0.013241033496344201
2024-04-18,0.0031057124549853654
2024-04-19,-0.026558709154720028
2024-04-22,0.009988515725489311
2024-04-23,0.003032986084302136
2024-04-24,0.024177516419089162
2024-04-25,-0.021622360036482657
2024-04-26,0.0081396125005464
2024-04-30,0.012413375388812486
2024-05-01,-0.00342682236067704
2024-05-02,-0.0009923294758391599
2024-05-07,0.01566665311325588
2024-05-08,-0.01629274659502833
2024-05-09,-0.003360802518904471
2024-05-10,0.0040744073600953445
2024-05-13,-0.0012987076683630416
2024-05-14,0.004625462275098524
2024-05-15,0.0007735903032757285
2024-05-16,0.013925259294861325
2024-05-17,-0.0034142322438696082
2024-05-20,0.007278160814432111
2024-05-21,-0.0031418225330184235
2024-05-22,-0.008468655363759181
2024-05-23,0.012588132403288821
2024-05-24,-0.011689814537326315
2024-05-27,0.006570135011165101
2024-05-28,-0.0011477741666461316
2024-05-29,-0.007682335584436428
2024-05-30,-0.013038977832967702
2024-05-31,0.011398750772054989
2024-06-03,0.011305704654324122
2024-06-04,-0.0021984493435361907
2024-06-05,-0.008942115527554195
2024-06-06,0.005542709563439718
2024-06-07,-0.0005059497286008519
2024-06-10,0.00915704458186073
2024-06-11,0.002475242323491722
2024-06-12,-0.006594596040567335
2024-06-13,-0.004018914762392911
2024-06-14,0.0024299768775397634
2024-06-17,-0.01834665170235028
2024-06-18,0.009964400042033139
2024-06-19,0.002303728802548255
2024-06-20,0.0016141193413283794
2024-06-21,-0.0009461021088562616
2024-06-24,0.005393749590109742
2024-06-25,0.009496284977134062
2024-06-26,0.012608684639888956
2024-06-27,-0.00820658665828966
2024-06-28,0.006139542790033703
2024-07-01,0.001212145973046308
2024-07-02,0.011194069203338541
2024-07-03,0.012628177404282459
2024-07-04,0.008203067282401166
2024-07-05,-3.122048017667467e-05
2024-07-08,-0.003218387775625997
