,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,22.8579,9.1242,18.813,22.9524,0.8095,0.485,0.1928,0.5581,0.7158,0.3975,1189.0,15.0016
QQQ,62.7382,22.9057,20.2651,21.7972,0.3294,1.1303,1.1878,1.1195,1.0554,1.0509,1189.0,
