,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,208.2809,7.2342,19.8703,34.4892,1.131,0.3641,0.0764,0.4492,0.6074,0.2098,4086.0,15.6613
QQQ,217.2578,7.4107,23.9499,40.8451,2.1746,0.3094,0.0561,0.4177,0.5324,0.1814,4086.0,
