,RL Agent,QQQ
2009-03-31,1.027503167833561,1.041427028470891
2009-04-01,1.0400896868018228,1.0617573182472018
2009-04-02,1.0821736415269905,1.117760181698352
2009-04-03,1.067060036451398,1.1377064311101943
2009-04-06,1.0502063872601268,1.1012662160400588
2009-04-07,1.0384149621813374,1.074031547042497
2009-04-08,1.0436802971465524,1.0932105943926844
2009-04-09,1.0743795251106258,1.1269662298665162
2009-04-14,1.0905294325544916,1.1300346615414425
2009-04-15,1.083149822679906,1.1430768455417772
2009-04-16,1.0978507557254509,1.1549681009257327
2009-04-17,1.1212495249834213,1.1538166702137629
2009-04-20,1.0645723188233407,1.086690004488107
2009-04-21,1.0694660377779328,1.1158421765442155
2009-04-22,1.1038146530312063,1.1108559907629476
2009-04-23,1.0955684371524972,1.1361721525107826
2009-04-24,1.1283838479167774,1.1687768593682348
2009-04-27,1.1237538917644958,1.1423097690040203
2009-04-28,1.0954944586087862,1.1365552514460198
2009-04-29,1.1221741723937395,1.171461815536231
2009-04-30,1.1393022743358576,1.186037901564285
2009-05-04,1.170647338203785,1.2443424967242969
2009-05-05,1.1635107807248402,1.2266979790213164
2009-05-06,1.1725074615837399,1.25700082864601
2009-05-07,1.1650914114709932,1.2370540771385776
2009-05-08,1.2003690933752118,1.2968937040413864
2009-05-11,1.173196176158609,1.2639050195814145
2009-05-12,1.1586069526447293,1.2692750574413045
2009-05-13,1.0929926961949215,1.2224784932061132
2009-05-14,1.0995566687503888,1.2362873771725127
2009-05-15,1.1152690229604296,1.2155735491273234
2009-05-18,1.1544880958483936,1.2761797504722994
2009-05-19,1.1932253215854727,1.289605158931769
2009-05-20,1.2072059638748955,1.3022634908534816
2009-05-21,1.1682616986567103,1.3007293377779672
2009-05-22,1.1866396182372068,1.3130036920971597
2009-05-25,1.1897202490163348,1.3130036920971597
2009-05-26,1.2003972143154202,1.3425394651840956
2009-05-27,1.2125715686340923,1.3103184848813683
2009-05-28,1.192961254203665,1.3348680721870363
2009-05-29,1.1929052101080015,1.3532796664277735
2009-06-01,1.248592753000597,1.3897205091173965
2009-06-02,1.2483243011528906,1.4050631695876177
2009-06-03,1.2226260295489138,1.3594167808254207
