,0
2023-03-30,0.017512008532272638
2023-03-31,0.0035762307079083566
2023-04-03,0.0053450917035917644
2023-04-04,0.002879853377252495
2023-04-05,-0.00684752383868914
2023-04-06,0.005337865853804802
2023-04-11,0.002433769066619851
2023-04-12,0.00882787515677097
2023-04-13,0.014001364162882224
2023-04-14,-0.0017260488570454147
2023-04-17,-0.007996442598803388
2023-04-18,0.00827870470318337
2023-04-19,-0.0012962707343263657
2023-04-20,-0.0021635844690049977
2023-04-21,0.008456068424222973
2023-04-24,0.003010239147718252
2023-04-25,-0.01779203769721671
2023-04-26,0.0024006559638289904
2023-04-27,0.012410036335891217
2023-04-28,-0.0038709487490917738
2023-05-02,-0.012953214517694822
2023-05-03,0.0024058160575970433
2023-05-04,-0.0037092216427379032
2023-05-05,0.016206632773576368
2023-05-08,-0.000646369704339067
2023-05-09,-0.009488993828141612
2023-05-10,-0.001306509753033147
2023-05-11,-0.004360187241889912
2023-05-12,-0.0032843250525361745
2023-05-15,0.004613333923851659
2023-05-16,-0.006341508593089351
2023-05-17,0.0074824787449916386
2023-05-18,0.0015289838210783557
2023-05-19,0.00785165098731011
2023-05-22,0.00021652199251231963
2023-05-23,-0.0194722602210452
2023-05-24,-0.01654890370377826
2023-05-25,0.00246807754182532
2023-05-26,0.015219322633095222
2023-05-29,0.0
2023-05-30,-0.011904793477069187
2023-05-31,-0.017402858136608024
2023-06-01,0.014305198542287068
2023-06-02,0.010521518172024402
2023-06-05,-0.009969210987442856
2023-06-06,0.002685244410706833
2023-06-07,-0.0035704598578999436
2023-06-08,0.012766078816345505
2023-06-09,-0.007518880449672416
2023-06-12,0.011140732519361318
2023-06-13,0.008153269845680766
2023-06-14,0.0072132607794066494
2023-06-15,0.012152866549373753
2023-06-16,0.0015007017001167355
2023-06-19,0.0
2023-06-20,-0.010619185313331614
2023-06-21,-0.0004417135181299381
2023-06-22,-0.004860816265832901
2023-06-23,-0.014875756373935123
2023-06-26,0.0040568638797040535
2023-06-27,0.015039464579040818
2023-06-28,0.0008844193355637131
2023-06-29,0.0004419087151832368
2023-06-30,0.015459344808070874
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,-0.01957361543642111
2023-07-06,-0.023735657708273683
2023-07-07,0.00977047596126912
2023-07-10,0.007875777926731775
2023-07-11,0.010046873248945376
2023-07-12,0.026083152761830153
2023-07-13,0.017449318551804316
2023-07-14,-0.0038110291973233457
2023-07-17,-0.0027631699771522023
2023-07-18,0.0027708262410333084
2023-07-19,-0.007651562944203549
2023-07-20,-0.005782746488589785
2023-07-21,0.007109065945924531
2023-07-24,-0.007272665625433383
2023-07-25,-0.0036631037491728913
2023-07-26,-0.0010814014076236944
2023-07-27,0.0012988577425638859
2023-07-28,0.01751372352861269
2023-07-31,-0.0006376387175127674
2023-08-01,-0.015096695489191458
2023-08-02,-0.022236483803132034
2023-08-03,-0.004195396532726825
2023-08-04,0.003769415277870003
2023-08-07,0.011265959990278462
2023-08-08,-0.012014141679227652
2023-08-09,0.003537435114223886
2023-08-10,0.009693790200512753
2023-08-11,-0.010909783287126329
2023-08-14,-0.001544247215122918
2023-08-15,-0.014140450281722727
2023-08-16,-0.006723524794642777
2023-08-17,-0.011281483085982869
2023-08-18,0.0013691061353593437
2023-08-21,0.007520483041886683
2023-08-22,-0.0018095248689468102
2023-08-23,0.0056651658657340676
2023-08-24,-0.01757544392394761
2023-08-25,0.008715379872658247
2023-08-28,0.01182374657963603
2023-08-29,0.014606631561430161
2023-08-30,-0.00022144767546983246
2023-08-31,-0.012405887527024206
2023-09-01,-0.007178207802068348
2023-09-04,0.0
2023-09-05,-0.011296778197316337
2023-09-06,-0.004798860340328059
2023-09-07,-0.007347885755136341
2023-09-08,0.0025444885929555294
2023-09-11,0.011536767026908645
2023-09-12,-0.007071122014958298
2023-09-13,-0.005972940583848896
2023-09-14,0.01086212836849021
2023-09-15,-0.0013719818721842358
2023-09-18,-0.006427723952616149
2023-09-19,0.0004619796290676881
2023-09-20,-0.0004617663024426566
2023-09-21,-0.015711802628966542
2023-09-22,-0.000704078613231407
2023-09-25,-0.009396455608462362
2023-09-26,-0.014702375534416667
2023-09-27,-0.002406660100890301
2023-09-28,0.012545390807087387
2023-09-29,0.0009527019457720165
