Asset,Asset Code,Model,Benchmark,N,NW_lags,Mean(strategy - benchmark),SE_HAC,t_HAC,p_HAC_right,p_ttest_right_legacy,Delta Sharpe,p_SB_right_DeltaSharpe,DeltaSharpe_q05,DeltaSharpe_q50,DeltaSharpe_q95,Delta IR2,p_SB_right_DeltaIR2,DeltaIR2_q05,DeltaIR2_q50,DeltaIR2_q95,Significant_HAC_10pct,Significant_SB_Sharpe_10pct,Significant_SB_IR2_10pct
Ensemble,ENS,LSTM_1 (EW),Benchmark,3735,8,1.1891708917804504e-06,7.044781344616488e-05,0.0168801675113621,0.4932661072736052,0.4938511489136723,0.10067556012505352,0.18981018981018982,-0.08901170639516368,0.09083606561279461,0.2887636950284464,0.07052043373080219,0.25374625374625376,-0.1343026896740737,0.07213381247853409,0.43516633272306615,False,False,False
Ensemble,ENS,LSTM_2 (EW),Benchmark,3735,8,-7.002750725119917e-05,7.279532311672441e-05,-0.9619781086610859,0.8319696997206067,0.8139957032503515,0.0999308399180453,0.17882117882117882,-0.0861903200871744,0.09695729687181182,0.27269837262491964,0.05527561133793013,0.24575424575424576,-0.1297728604098698,0.0711135532187073,0.4171911385772969,False,False,False
Ensemble,ENS,LSTM_NC_DAILY (EW),Benchmark,3735,8,-2.0535124041162765e-06,8.339740458273072e-05,-0.024623217165939258,0.5098222498540013,0.5092132715879806,0.016331702920314273,0.46653346653346656,-0.19080220424995292,0.009103375729775487,0.21208262963244479,0.006862281553826843,0.4925074925074925,-0.2802613702291112,0.0012035709135341504,0.2720005240010042,False,False,False
Ensemble,ENS,LSTM_NC_DAILY_2 (EW),Benchmark,3735,8,-6.419891268508708e-06,7.499708954181648e-05,-0.08560187212237268,0.5341085449068902,0.531149626182553,0.028698308572560727,0.4155844155844156,-0.16612685308617228,0.020121870909972694,0.20603303565158446,0.01189015426260881,0.46053946053946054,-0.22649994469910703,0.009253143076219023,0.2928060114514304,False,False,False
Ensemble,ENS,TRANSFORMERS (EW),Benchmark,3735,8,-2.763783691026146e-05,7.02070311119921e-05,-0.3936619519799153,0.6530846821865381,0.6388696202158329,0.048598627290777685,0.34065934065934067,-0.1366260891313333,0.04013256810351723,0.21854622370605573,0.021735237937736185,0.4025974025974026,-0.19240210416734072,0.024792447697627,0.2925839930227173,False,False,False
