Asset,Asset Code,Model,Benchmark,N,alpha,SE(alpha)_HAC,t(alpha)_HAC,p(alpha)_HAC_right,beta,SE(beta)_HAC,t(beta)_HAC,p(beta)_HAC_two_sided,NW_lags,Significant_alpha_HAC_10pct
Ensemble,ENS,LSTM_1 (EW),Benchmark,3735,0.0001098430315001324,6.662095844618054e-05,1.6487759116955458,0.049596775802801196,-0.20567501446148195,0.012686445553019338,-16.212185958779596,0.0,8,True
Ensemble,ENS,LSTM_2 (EW),Benchmark,3735,9.27978889861836e-05,5.576896738346474e-05,1.663970005901486,0.048059211777692123,-0.3082183692168415,0.010545237477761676,-29.228205611000014,0.0,8,True
Ensemble,ENS,LSTM_NC_DAILY (EW),Benchmark,3735,8.22491688153454e-05,8.288473185845207e-05,0.9923319647798093,0.16051780768928436,-0.15957974324956178,0.016228205701374638,-9.83348043438002,0.0,8,False
Ensemble,ENS,LSTM_NC_DAILY_2 (EW),Benchmark,3735,7.87866706943778e-05,7.449191040647166e-05,1.0576540494729079,0.1451065957219888,-0.1612907333969388,0.014742692777387429,-10.940384896599694,0.0,8,False
Ensemble,ENS,TRANSFORMERS (EW),Benchmark,3735,8.052456831293801e-05,6.63565956211895e-05,1.2135126517434582,0.11246694011360125,-0.2047447199198756,0.012634428740434158,-16.205300938112693,0.0,8,False
