Strategy,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%),Total TC (%)
QQQ Buy-and-Hold,73.5745,25.2372,20.228,22.7683,0.3413,1.2476,1.3829,1.2142,1.1512,1.1084,1234,0.0,0.0
Equal-Weight Monthly,40.2521,14.7699,17.8,21.2045,0.3512,0.8298,0.578,0.8649,1.1602,0.6965,1234,0.1769,0.1091
Inverse Volatility,40.8331,14.9613,17.8654,20.9505,0.3413,0.8374,0.598,0.8718,1.1711,0.7141,1234,0.8759,0.5404
Momentum Top-20%,-6.451,-2.6267,20.3946,39.0483,1.8413,0.0,0.0,-0.0314,-0.0419,-0.0673,1234,32.5023,20.0539
Supervised + MVO,18.4155,7.1277,20.5007,21.2078,0.3036,0.3477,0.1169,0.4389,0.5909,0.3361,1234,47.2653,29.1627
