,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,13.6041,2.7319,7.986,11.9439,1.4641,0.3421,0.0782,0.3784,0.4414,0.2287,1189.0,11.8822
QQQ,62.7382,10.8628,14.3296,21.7972,0.6587,0.7581,0.3778,0.7916,0.7463,0.4984,1189.0,
