,Absolute Return (%),ARC (%),ASD (%),Max Drawdown (%),MLD (years),IR1,IR2,Sharpe,Sortino,Calmar,N Days,Avg Daily Turnover (%)
RL Agent,52.5185,17.62,17.0709,15.7139,0.2143,1.0322,1.1574,1.0436,1.6017,1.1213,650.0,1.6502
QQQ,85.7581,27.9592,19.5031,18.2037,0.3769,1.4336,2.2019,1.3284,1.8846,1.5359,650.0,
