fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-03-29,2023-03-28,2023-04-05,2023-05-04,2023-05-05,2023-06-02,502,20,True,large_slow,0.6774,-2.33,180.3553,72.7,1.97,4.9917,12.3657,19,0.0309,0.01
2,2021-04-29,2023-04-28,2023-05-08,2023-06-05,2023-06-06,2023-07-05,502,19,False,large_slow,278.1062,4.5685,55.0691,50.4,3.37,3.4914,7.1613,18,0.0205,0.01
3,2021-06-01,2023-05-26,2023-06-05,2023-06-30,2023-07-05,2023-08-04,500,23,False,large_slow,23.8087,3.3932,18.0212,28.67,3.14,1.4142,1.9301,22,0.0285,0.01
4,2021-06-29,2023-06-28,2023-07-06,2023-08-04,2023-08-07,2023-09-05,501,21,False,large_slow,58.8542,2.5578,0.0,-0.86,3.7,-0.2707,-0.4737,20,0.1802,0.02
5,2021-07-29,2023-07-28,2023-08-07,2023-09-01,2023-09-05,2023-10-04,500,22,True,large_slow,218.4303,1.9226,0.0,-10.33,1.31,-0.0798,-0.1026,16,0.5921,84.97
6,2021-08-30,2023-08-28,2023-09-05,2023-10-04,2023-10-05,2023-11-03,499,22,True,aggressive,54.1532,0.4389,0.0,-15.14,7.1,-0.9544,-1.4378,21,0.743,19.11
7,2021-09-29,2023-09-28,2023-10-06,2023-11-03,2023-11-06,2023-12-05,500,20,True,high_cap_con,0.043,0.8455,194.3213,54.77,1.35,4.0782,10.1885,16,0.935,44.59
8,2021-10-29,2023-10-27,2023-11-06,2023-12-04,2023-12-05,2024-01-04,499,21,False,high_cap_con,114.973,3.216,0.0,-17.47,1.64,-5.168,-3.689,4,0.3508,90.09
9,2021-11-29,2023-11-28,2023-12-06,2024-01-05,2024-01-08,2024-02-05,500,20,True,high_cap_con,9191.5912,5.6681,0.0,-60.06,7.04,-3.8676,-4.4762,18,1.0498,0.02
10,2021-12-29,2023-12-28,2024-01-05,2024-02-02,2024-02-05,2024-03-04,500,20,True,tiny_fast,508.3301,6.3031,68.3815,53.2,2.45,2.3657,3.744,19,0.0705,0.0
11,2022-01-31,2024-01-26,2024-02-05,2024-03-04,2024-03-05,2024-04-04,497,22,False,tiny_fast,69.4957,2.3028,3.8994,11.89,3.05,-0.4079,-0.7991,21,0.0595,0.0
12,2022-02-28,2024-02-27,2024-03-06,2024-04-05,2024-04-08,2024-05-03,499,20,True,long_horizon,6.6492,1.0795,0.0,-14.32,4.16,-1.5266,-1.8638,15,0.4483,40.98
13,2022-03-28,2024-03-27,2024-04-04,2024-05-03,2024-05-06,2024-06-03,500,20,True,conservative,81.2141,4.191,9.2555,11.06,1.82,0.9511,1.2568,17,0.6449,40.91
14,2022-04-28,2024-04-26,2024-05-06,2024-06-04,2024-06-05,2024-07-02,499,19,True,short_horizon,130.3403,2.1622,0.0,-5.96,0.89,-2.0628,-5.0537,17,0.9108,47.11
15,2022-05-31,2024-05-24,2024-06-04,2024-07-02,2024-07-05,2024-08-02,497,21,False,short_horizon,84.1757,2.5122,0.0,-49.06,9.09,-5.5048,-7.0627,19,0.4571,24.98
16,2022-06-28,2024-06-27,2024-07-05,2024-08-02,2024-08-05,2024-09-04,500,22,True,baseline,0.0,-4.0624,104.941,85.04,3.45,3.0886,5.6236,19,0.0543,0.27
17,2022-07-28,2024-07-26,2024-08-05,2024-09-03,2024-09-04,2024-10-03,498,22,False,baseline,399.0819,3.3521,29.3936,47.18,3.89,1.8138,1.9033,21,0.6591,0.11
18,2022-08-29,2024-08-27,2024-09-04,2024-10-03,2024-10-04,2024-11-01,498,21,False,baseline,25.2812,1.4096,0.0,-21.38,4.22,-1.0804,-1.5027,19,0.6446,0.13
19,2022-09-28,2024-09-27,2024-10-07,2024-11-04,2024-11-05,2024-12-04,499,20,False,baseline,14.743,1.8049,80.8453,77.58,4.05,3.8656,5.5113,19,0.067,0.05
20,2022-10-28,2024-10-25,2024-11-04,2024-12-03,2024-12-04,2025-01-03,497,20,False,baseline,180.2544,4.1412,0.0,-54.51,5.85,-3.1904,-5.9303,19,0.0595,0.1
21,2022-11-28,2024-11-27,2024-12-05,2025-01-03,2025-01-06,2025-02-04,501,20,True,baseline,0.0,-1.4699,64.8984,31.67,1.67,3.4359,7.7874,16,0.7034,53.49
22,2022-12-28,2024-12-27,2025-01-06,2025-02-03,2025-02-04,2025-03-03,498,19,False,baseline,103.8417,3.1688,0.0,-23.04,3.1,-4.6948,-5.5227,10,0.3618,60.35
23,2023-01-30,2025-01-27,2025-02-04,2025-03-03,2025-03-04,2025-04-03,495,23,True,high_cap_con,331.0982,4.0049,0.0,-19.54,6.43,-3.184,-3.6213,21,0.9619,37.4
24,2023-02-28,2025-02-27,2025-03-07,2025-04-04,2025-04-07,2025-05-06,497,21,True,baseline,0.0,-5.2146,338.1933,136.32,2.18,3.5328,10.0818,19,0.1157,56.34
25,2023-03-28,2025-03-27,2025-04-04,2025-05-02,2025-05-05,2025-06-03,497,21,False,baseline,290.4776,3.8072,26.5038,14.8,1.24,2.1588,4.335,20,0.264,68.52
26,2023-04-28,2025-04-25,2025-05-05,2025-06-04,2025-06-05,2025-07-02,495,19,False,baseline,23.8827,2.0701,0.4075,1.15,0.74,0.8453,1.28,14,0.2621,75.49
27,2023-05-30,2025-05-27,2025-06-04,2025-07-02,2025-07-07,2025-08-01,495,20,False,baseline,0.1457,0.7021,0.0,-10.16,1.73,-4.5821,-4.8585,17,0.3699,70.04
